;; -*- coding: utf-8-mcs-er -*-
CB00001	&I-CB00001;	⿰𠤕欠
CB00002	&CB00002;	⿰⿱匕示頁
CB00003	&CB00003;	⿱㓛&GT-47348;
CB00004	&CB00004;	⿰⿱水廾頁
CB00005	&CB00005;	⿱⿰&GT-25560;⿹勹丿里
CB00006	&CB00006;	⿱⿰王&M-08722;木
CB00007	&I-CB00007;	⿱䀠心
CB00008	&CB00008;	⿱&GT-08869;⿱火又
CB00009	&CB00009;	⿰阝⿱山&AJ1-08425;
CB00010	&I-CB00010;	⿰⿱&CDP-8C69;亞斤
CB00011	&CB00011;	⿱&CDP-8D52;䂞
CB00012	&I-CB00012;	⿰𥇛斗
CB00013	&I-CB00013;	&M-11112;
CB00014	&CB00014;	&CB00014;
CB00015	&CB00015;	⿰&AJ1-17370;鳥
CB00016	&CB00016;	&CB00016;
CB00017	&I-CB00017;	卐
CB00018	&I-CB00018;	⿺克寸
CB00019	&CB00019;	&CB00019;
CB00020	&I-CB00020;	⿱亠󠄀弁
CB00021	&CB00021;	⿱艹⿰亻⿱公󠄁几
CB00022	&CB00022;	⿱艹𣗥
CB00023	&CB00023;	⿱艹干
CB00024	&CB00024;	⿱艹怱
CB00025	&CB00025;	⿱艹&M-21371;
CB00026	&CB00026;	⿱艹甘
CB00027	&CB00027;	⿱艹位
CB00028	&CB00028;	⿱艹別
CB00029	&CB00029;	⿱艹呵
CB00030	&CB00030;	⿱艹&GT-18172;
CB00031	&CB00031;	⿱艹果
CB00032	&CB00032;	⿱艹皆
CB00033	&CB00033;	⿱艹&M-30184;
CB00034	&CB00034;	⿱艹芻
CB00035	&CB00035;	⿱艹園
CB00036	&CB00036;	⿱艹積
CB00037	&CB00037;	⿱艹碭
CB00038	&I-CB00038;	⿱一巾
CB00039	&CB00039;	⿻&GT-45972;失
CB00040	&I-CB00040;	⿱一旦
CB00041	&CB00041;	⿰入󠄀鳥
CB00042	&I-CB00042;	⿱八󠄀異
CB00043	&CB00043;	⿰乞頁
CB00044	&CB00044;	⿱亡󠄀虫
CB00045	&I-CB00045;	⿰口帀
CB00046	&I-CB00046;	&M-04264;
CB00047	&CB00047;	⿰口&M-41945;
CB00048	&I-CB00048;	⿰口十
CB00049	&I-CB00049;	⿰口也
CB00050	&I-CB00050;	⿰口尸
CB00051	&I-CB00051;	⿰口尹
CB00052	&I-CB00052;	⿰口引
CB00053	&I-CB00053;	⿰口心
CB00054	&I-CB00054;	⿰口斗
CB00055	&I-CB00055;	⿰口&GT-25336;
CB00056	&I-CB00056;	⿰口他
CB00057	&I-CB00057;	⿰口兄
CB00058	&I-CB00058;	⿰口司
CB00059	&I-CB00059;	⿰口&GT-08875;
CB00060	&CB00060;	⿰口斥
CB00061	&I-CB00061;	⿰口永
CB00062	&I-CB00062;	⿰口&GT-08889;
CB00063	&I-CB00063;	⿰口束
CB00064	&CB00064;	⿰口和
CB00065	&CB00065;	⿰口者
CB00066	&I-CB00066;	⿰口室
CB00067	&I-CB00067;	⿰口&M-09574;
CB00068	&I-CB00068;	⿰口&GT-59026;
CB00069	&I-CB00069;	⿰口栗
CB00070	&I-CB00070;	⿰口留
CB00071	&I-CB00071;	⿰口&M-30911;
CB00072	&I-CB00072;	⿰口參
CB00073	&I-CB00073;	⿰口崖
CB00074	&I-CB00074;	⿰口梨
CB00075	&I-CB00075;	⿲口⿸虍巾彡
CB00076	&I-CB00076;	⿰口&GT-24496;
CB00077	&I-CB00077;	⿰口登
CB00078	&I-CB00078;	⿰口&GT-36979;
CB00079	&I-CB00079;	⿰口睪
CB00080	𡀔	⿰口路
CB00081	&I-CB00081;	⿰口銜
CB00082	&I-CB00082;	⿰口&M-02224;
CB00083	&CB00083;	⿰口蔡
CB00084	&I-CB00084;	⿰口磬
CB00085	&I-CB00085;	⿰口&GT-35788;
CB00086	&CB00086;	⿰口&GT-52869;
CB00087	&CB00087;	⿰口呰
CB00088	&I-CB00088;	⿰口咢
CB00089	&I-CB00089;	⿰口虒
CB00090	&I-CB00090;	⿰口恒
CB00091	&CB00091;	&CB00091;
CB00092	&I-CB00092;	⿰土&M-07716;
CB00093	&I-CB00093;	⿰土冡
CB00094	&I-CB00094;	⿰土下
CB00095	&I-CB00095;	⿰土&GT-03956;
CB00096	&CB00096;	⿰土&GT-27544;
CB00097	&I-CB00097;	⿰土岸
CB00098	&I-CB00098;	⿰土屋
CB00099	&I-CB00099;	⿰土&GT-35174;
CB00100	&I-CB00100;	⿰土區
CB00101	&I-CB00101;	⿰土曇
CB00102	&CB00102;	⿰土龍
CB00103	&CB00103;	⿰女賛
CB00104	&CB00104;	⿰女⿱⿱&CDP-8B5B;⿵&CDP-8BC0;人比
CB00105	&I-CB00105;	⿰女失
CB00106	&I-CB00106;	⿰女&GT-11066;
CB00107	&I-CB00107;	⿰女石
CB00108	&CB00108;	⿰女亥󠄂
CB00109	&I-CB00109;	⿰女&GT-08889;
CB00110	&I-CB00110;	⿰孑嬰
CB00111	&I-CB00111;	⿱小⿰小小
CB00112	&CB00112;	⿸尸工
CB00113	&I-CB00113;	⿸尸貝
CB00114	&I-CB00114;	⿰山厓
CB00115	&I-CB00115;	⿰山畏
CB00116	&I-CB00116;	⿰山&GT-07480;
CB00117	&CB00117;	⿰山間
CB00118	&CB00118;	⿱山⿰阝&M-05711;
CB00119	&CB00119;	⿱山時
CB00120	&I-CB00120;	⿱山&GT-17258;
CB00121	&CB00121;	⿱山&GT-56048;
CB00122	&I-CB00122;	⿱山&GT-12872;
CB00123	&I-CB00123;	⿱山夆
CB00124	&I-CB00124;	⿰巾票
CB00125	&I-CB00125;	⿰亻吴
CB00126	&I-CB00126;	⿰亻妄
CB00127	&I-CB00127;	⿰亻&GT-07757;
CB00128	&I-CB00128;	⿰亻&M-11712;
CB00129	&I-CB00129;	⿰亻易
CB00130	&I-CB00130;	⿰亻品
CB00131	&I-CB00131;	⿰亻盾
