;; -*- coding: utf-8-mcs-er -*-
C1-4421	&I-C1-4421;	一
C1-4422	&I-C1-4422;	乙
C1-4423	&I-C1-4423;	丁
C1-4424	&C1-4424;	&C1-4424;
C1-4425	&I-C1-4425;	乃
C1-4426	&I-C1-4426;	九
C1-4427	&I-C1-4427;	了
C1-4428	&I-C1-4428;	二
C1-4429	&I-C1-4429;	人
C1-442A	&I-C1-442A;	儿
C1-442B	&I-C1-442B;	&C1-442B;
C1-442C	&C1-442C;	&C1-442C;
C1-442D	&I-C1-442D;	几
C1-442E	&I-C1-442E;	刀
C1-442F	&I-C1-442F;	⿹𠃌&CDP-8DE4;
C1-4430	&I-C1-4430;	力
C1-4431	&I-C1-4431;	匕
C1-4432	&I-C1-4432;	十
C1-4433	&I-C1-4433;	卜
C1-4434	&I-C1-4434;	&GT-03944;
C1-4435	&I-C1-4435;	三
C1-4436	&I-C1-4436;	下
C1-4437	&I-C1-4437;	&GT-00020;
C1-4438	&I-C1-4438;	上
C1-4439	&I-C1-4439;	丫
C1-443A	&GT-00132;	&GT-00132;
C1-443B	&I-C1-443B;	⿵几丶
C1-443C	&I-C1-443C;	久
C1-443D	&I-C1-443D;	⿱丿厶
C1-443E	&C1-443E;	&C1-443E;
C1-443F	&I-C1-443F;	⿱𠂉乙
C1-4440	&I-C1-4440;	于
C1-4441	&C1-4441;	&C1-4441;
C1-4442	&I-C1-4442;	兀
C1-4443	&C1-4443;	⿹刀丶
C1-4444	&I-C1-4444;	⿹勹丶
C1-4445	&I-C1-4445;	千
C1-4446	&I-C1-4446;	&GT-03946;
C1-4447	&I-C1-4447;	口
C1-4448	&I-C1-4448;	土
C1-4449	&I-C1-4449;	士
C1-444A	&I-C1-444A;	夕
C1-444B	&I-C1-444B;	大
C1-444C	&C1-444C;	&C1-444C;
C1-444D	&I-C1-444D;	子
C1-444E	&I-C1-444E;	孑
C1-444F	&I-C1-444F;	孓
C1-4450	&I-C1-4450;	寸
C1-4451	&I-C1-4451;	小
C1-4452	&M-07538;	&M-07538;
C1-4453	&I-C1-4453;	尸
C1-4454	&I-C1-4454;	山
C1-4455	&I-C1-4455;	川
C1-4456	&I-C1-4456;	工
C1-4457	&I-C1-4457;	己
C1-4458	&I-C1-4458;	已
C1-4459	&I-C1-4459;	巳
C1-445A	&I-C1-445A;	巾
C1-445B	&I-C1-445B;	干
C1-445C	&I-C1-445C;	&GT-12077;
C1-445D	&I-C1-445D;	弋
C1-445E	&I-C1-445E;	弓
C1-445F	&I-C1-445F;	才
C1-4460	&I-C1-4460;	&GT-00033;
C1-4461	&I-C1-4461;	丐
C1-4462	&I-C1-4462;	不
C1-4463	&I-C1-4463;	中
C1-4464	&C1-4464;	&C1-4464;
C1-4465	&I-C1-4465;	丹
C1-4466	&I-C1-4466;	&C1-4466;
C1-4467	&I-C1-4467;	尹
C1-4468	&I-C1-4468;	予
