;; -*- coding: utf-8-mcs-er -*-
M-17575 	&I-M-17575;	⿰⺡&GT-04385;
M-17576 	&M-17576;	
M-17577 	&I-M-17577;	⿰⺡&GT-08922;
M-17578 	&M-17578;	⿰⺡幸
M-17579 	&M-17579;	
M-17580 	&I-M-17580;	⿰⺡刷
M-17581 	&I-M-17581;	⿰⺡邯
M-17582 	&I-M-17582;	⿰⺡厓
M-17583 	&I-M-17583;	⿰⺡⿱⺮几
M-17584 	&I-M-17584;	⿰⺡叕
M-17585 	&I-M-17585;	⿰⺡長
M-17586 	&M-17586;	
M-17587 	&I-M-17587;	⿱洰土
M-17588 	&M-17588;	
M-17589 	&M-17589;	⿰⺡空
M-17590 	&M-17590;	
M-17591 	&M-17591;	
M-17592 	&I-M-17592;	⿰⺡盰
M-17593 	&I-M-17593;	
M-17594 	&I-M-17594;	⿰⺡季
M-17595 	&I-M-17595;	⿰⺡函
M-17596 	&I-M-17596;	⿰⺡垂
M-17597 	&M-17597;	
M-17598 	&M-17598;	
M-17599 	&I-M-17599;	⿰⺡亞
M-17600 	&I-M-17600;	⿰⺡東
M-17601 	&I-M-17601;	⿰⺡固
M-17602 	&I-M-17602;	⿰⺡委
M-17603 	&I-M-17603;	⿰⺡居
M-17604 	&I-M-17604;	
M-17605 	&I-M-17605;	⿰⺡舍
M-17606 	&I-M-17606;	⿰⺡京󠄀
M-17607 	&I-M-17607;	⿰⺡昏
M-17608 	&I-M-17608;	⿰⺡沓
M-17609 	&I-M-17609;	⿰⺡&M-36338;
M-17610 	&I-M-17610;	⿰⺡&GT-08939;
M-17611 	&M-17611;	
M-17612 	&I-M-17612;	⿰⺡&GT-07757;
M-17613 	&I-M-17613;	⿰⺡&CDP-8ACD;
M-17614 	&I-M-17614;	
M-17615 	&M-17615;	
M-17616 	&I-M-17616;	⿰⺡甾
M-17617 	&I-M-17617;	⿰⺡析
M-17618 	&M-17618;	
M-17619 	&I-M-17619;	⿰⺡肴
M-17620 	&I-M-17620;	⿰⺡其
M-17621 	&I-M-17621;	
M-17622 	&I-M-17622;	⿰⺡屈
M-17623 	&I-M-17623;	⿰⺡果
M-17624 	&I-M-17624;	⿰⺡臽
M-17625 	&M-17625;	
M-17626 	&I-M-17626;	⿰⺡林
M-17627 	&M-17627;	
M-17628 	&M-17628;	
M-17629 	&I-M-17629;	
M-17630 	&M-17630;	⿰⺡周
M-17631 	&I-M-17631;	⿰⺡奉
M-17632 	&I-M-17632;	⿰⺡昊
M-17633 	&I-M-17633;	⿰⺡昌
M-17634 	&I-M-17634;	⿰⺡叔
M-17635 	&I-M-17635;	⿰⺡妻
M-17636 	&M-17636;	⿰⺡&M-30736;
M-17637 	&M-17637;	
M-17638 	&I-M-17638;	⿰⺡&AJ1-17425;
M-17639 	&I-M-17639;	⿰⺡卓
M-17640 	&M-17640;	
M-17641 	&I-M-17641;	⿰⺡匊
M-17642 	&I-M-17642;	⿰⺡匋
M-17643 	&M-17643;	⿰⺡&M-07106;
M-17644 	&I-M-17644;	⿰⺡&M-11712;
M-17645 	&I-M-17645;	⿲⺡⿱巛𠔼刂
M-17646 	&I-M-17646;	⿰⺡制
M-17647 	&M-17647;	
M-17648 	&M-17648;	
M-17649 	&I-M-17649;	⿰⺡肥
M-17650 	&M-17650;	
M-17651 	&I-M-17651;	⿰⺡松
M-17652 	&M-17652;	
M-17653 	&M-17653;	
M-17654 	&I-M-17654;	⿰⺡典
M-17655 	&I-M-17655;	⿰⺡畀
M-17656 	&M-17656;	
M-17657 	&M-17657;	
M-17658 	&M-17658;	
M-17659 	&M-17659;	
M-17660 	&I-M-17660;	⿰⺡炎
M-17661 	&M-17661;	
M-17662 	&I-M-17662;	⿰⺡或
M-17663 	&M-17663;	
M-17664 	&I-M-17664;	⿰⺡兒
M-17665 	&I-M-17665;	⿰⺡於
M-17666 	&I-M-17666;	⿰⺡彔
M-17667 	&I-M-17667;	⿰⺡金
M-17668 	&M-17668;	⿰⺡宓
M-17669 	&I-M-17669;	
M-17670 	&M-17670;	
M-17671 	&M-17671;	
M-17672 	&M-17672;	
M-17673 	&M-17673;	
M-17674 	&M-17674;	
M-17675 	&I-M-17675;	⿰⺡侖
M-17676 	&M-17676;	
M-17677 	&M-17677;	
M-17678 	&I-M-17678;	
M-17679 	&I-M-17679;	⿰⺡&GT-03504;
M-17680 	&I-M-17680;	⿰⺡⿸戶木
M-17681 	&I-M-17681;	⿰⺡&M-14564;
M-17682 	&I-M-17682;	
M-17683 	&I-M-17683;	⿰⺡&GT-37901;
M-17684 	&I-M-17684;	⿰⺡奅
M-17685 	&I-M-17685;	⿰⺡念
M-17686 	&I-M-17686;	
M-17687 	&I-M-17687;	⿰⺡&CDP-8CA4;
M-17688 	&M-17688;	
M-17689 	&AJ1-08522;	⿰⺡&GT-44178;
M-17690 	&I-M-17690;	⿰⺡享󠄀
M-17691 	&I-M-17691;	⿰⺡忽
M-17692 	&I-M-17692;	⿰⺡𣶒
M-17693 	&I-M-17693;	⿰⺡來
M-17694 	&I-M-17694;	⿰⺡昆
M-17695 	&I-M-17695;	⿰⺡&C3-2A7E;
M-17695'	清	⿰⺡青
M-17696 	&I-M-17696;	⿰⺡奄
M-17697 	&I-M-17697;	⿰⺡戔
M-17698 	&I-M-17698;	
M-17699 	&I-M-17699;	⿱水⿰水水
M-17700 	&M-17700;	
M-17701 	&I-M-17701;	⿰⺡芷
M-17702 	&M-17702;	
M-17703 	&M-17703;	
M-17704 	&M-17704;	
M-17705 	&M-17705;	
M-17706 	&I-M-17706;	⿱金水
M-17707 	&M-17707;	
M-17708 	&I-M-17708;	⿰⺡帛
M-17709 	&M-17709;	
M-17710 	&M-17710;	
M-17711 	&M-17711;	
M-17712 	&M-17712;	亻口&GT-10942;水
M-17713 	&M-17713;	
M-17714 	&I-M-17714;	⿰⺡奔
M-17715 	&M-17715;	
M-17716 	&M-17716;	
M-17717 	&M-17717;	
M-17718 	&I-M-17718;	
M-17719 	&I-M-17719;	⿰⺡⿱水水
M-17720 	&M-17720;	
M-17721 	&M-17721;	
M-17722 	&I-M-17722;	⿰⺡&M-13775;
M-17723 	&M-17723;	
M-17724 	&M-17724;	
M-17725 	&M-17725;	
M-17726 	&M-17726;	
M-17727 	&M-17727;	
M-17728 	&M-17728;	
M-17729 	&M-17729;	
M-17730 	&M-17730;	
M-17731 	&M-17731;	
M-17732 	&M-17732;	
M-17733 	&I-M-17733;	
M-17734 	&M-17734;	
M-17735 	&M-17735;	
M-17736 	&M-17736;	
M-17737 	&M-17737;	
M-17738 	&M-17738;	
M-17739 	&M-17739;	
M-17740 	&M-17740;	
M-17741 	&M-17741;	
M-17742 	&M-17742;	
M-17743 	&I-M-17743;	⿲⺡并刂
M-17744 	&I-M-17744;	⿰⺡⿰屰刂
M-17745 	&M-17745;	
M-17746 	&M-17746;	
M-17747 	&I-M-17747;	⿰⺡忠
M-17748 	&I-M-17748;	⿰⺡⿱日⿹勹匕
M-17749 	&I-M-17749;	⿰⺡⿱&GT-17008;&CDP-89C6;
M-17749'	&GT-22570;	
M-17750 	&I-M-17750;	⿰⺡⿻&CDP-8BF5;米
M-17750'	渋	⿰⺡⿱止&CDP-89AE;
M-17751 	&I-M-17751;	⿰⺡⿳十⺾兀
M-17752 	&I-M-17752;	⿰⺡陌
M-17753 	&I-M-17753;	⿰⺡若
M-17754 	&M-17754;	
M-17755 	&I-M-17755;	⿰⺡柔
M-17756 	&I-M-17756;	⿰⺡⿳&CDP-88E1;一厶
M-17757 	&I-M-17757;	
M-17758 	&I-M-17758;	
M-17759 	&I-M-17759;	⿰⺡咸
M-17760 	&I-M-17760;	⿰⺡耎
M-17761 	&I-M-17761;	
M-17762 	&I-M-17762;	⿰⺡首
M-17763 	&I-M-17763;	⿰⺡亭󠄀
M-17764 	&M-17764;	⿱洰木
M-17765 	&I-M-17765;	⿰⺡度
M-17766 	&I-M-17766;	⿰⺡風
M-17767 	&I-M-17767;	
M-17768 	&M-17768;	
M-17769 	&I-M-17769;	⿰⺡勃
M-17770 	&I-M-17770;	⿰⺡屋
M-17771 	&I-M-17771;	
M-17772 	&I-M-17772;	
M-17773 	&I-M-17773;	⿰⺡畏
M-17774 	&I-M-17774;	⿰⺡昷
M-17775 	&I-M-17775;	⿰⺡眄
M-17776 	&I-M-17776;	⿰⺡禹
M-17777 	&I-M-17777;	⿰⺡⿸广屰
M-17778 	&I-M-17778;	⿰⺡枼
M-17779 	&I-M-17779;	
M-17780 	&I-M-17780;	⿰⺡則
M-17781 	&I-M-17781;	⿰⺡胃
M-17782 	&I-M-17782;	
M-17783 	&I-M-17783;	⿰⺡巷
M-17783'	港	
M-17784 	&I-M-17784;	⿰⺡弇
M-17785 	&I-M-17785;	⿰⺡虹
M-17786 	&I-M-17786;	⿰⺡&GT-08966;
M-17787 	&I-M-17787;	⿰⺡&GT-12319;
M-17788 	&I-M-17788;	⿰⺡曷
M-17789 	&I-M-17789;	⿰⺡&GT-40205;
M-17790 	&M-17790;	⿰⺡&GT-40028;
M-17791 	&M-17791;	⿰⺡兗󠄀
M-17792 	&I-M-17792;	⿰⺡&M-13632;
M-17793 	&I-M-17793;	⿰⺡&M-35219;
M-17794 	&I-M-17794;	⿰⺡&GT-29705;
M-17795 	&I-M-17795;	⿰⺡&GT-29688;
M-17796 	&I-M-17796;	⿰⺡美
M-17797 	&I-M-17797;	⿰⺡哉
M-17798 	&M-17798;	
M-17799 	𣷾	
M-17800 	&I-M-17800;	⿰⺡軍
M-17801 	&I-M-17801;	⿰⺡思
M-17802 	&I-M-17802;	⿰⺡柰
M-17803 	&I-M-17803;	⿰⺡癸
M-17804 	&I-M-17804;	⿰⺡拾
M-17805 	&M-17805;	
M-17806 	&I-M-17806;	⿰⺡虺
M-17807 	&I-M-17807;	⿰⺡咢
M-17808 	&I-M-17808;	⿰⺡拜
M-17809 	&I-M-17809;	⿰⺡眉
M-17810 	&I-M-17810;	⿰⺡柬
M-17811 	&M-17811;	⿰⺡音
M-17812 	&M-17812;	⿰⺡⿱&GT-33181;月
M-17813 	&I-M-17813;	⿰⺡⿹聿彡
M-17814 	&I-M-17814;	⿰⺡⿹式八
M-17815 	&I-M-17815;	⿰⺡某
M-17816 	&I-M-17816;	⿰⺡急
M-17817 	&M-17817;	
M-17818 	&I-M-17818;	⿰⺡⿱⺿禾
M-17819 	&I-M-17819;	⿰⺡昝
M-17820 	&I-M-17820;	⿰⺡括
M-17821 	&I-M-17821;	⿰⺡恬
M-17822 	&I-M-17822;	
M-17823 	&I-M-17823;	⿰⺡韋
M-17824 	&I-M-17824;	⿰⺡&GT-59026;
M-17825 	&I-M-17825;	⿰⺡耑
M-17826 	&I-M-17826;	⿰⺡面
M-17827 	&I-M-17827;	⿰⺡頁
M-17828 	&I-M-17828;	⿰⺡柏
M-17829 	&I-M-17829;	⿰⺡胥
M-17830 	&M-17830;	
M-17831 	&M-17831;	⿰⺡咠
M-17832 	&I-M-17832;	
M-17833 	&I-M-17833;	
M-17834 	&M-17834;	
M-17835 	&I-M-17835;	
M-17836 	&I-M-17836;	⿰⺡胡
M-17837 	&I-M-17837;	⿰⺡封
M-17838 	&I-M-17838;	⿰⺡革
M-17839 	&M-17839;	
M-17840 	&I-M-17840;	⿰⺡要
M-17841 	&I-M-17841;	⿰⺡𦍒
M-17842 	&I-M-17842;	⿰⺡相
M-17843 	&M-17843;	⿰⺡奕
M-17844 	&I-M-17844;	⿰⺡畎
M-17845 	&M-17845;	⿰⺡胤
M-17846 	&I-M-17846;	⿰⺡&GT-27811;
M-17847 	&I-M-17847;	⿰⺡是
M-17848 	&I-M-17848;	⿰⺡皆
M-17849 	&I-M-17849;	⿰⺡貞
M-17850 	&I-M-17850;	⿰⺡皇
