;; -*- coding: utf-8-mcs-er -*-
M-48903 	&I-M-48903;	⿴亏八
M-48904 	&I-M-48904;	⿱丷丂
M-48905 	&I-M-48905;	
M-48906 	&I-M-48906;	⿳丿⺌丂
M-48907 	&I-M-48907;	
M-48908 	&I-M-48908;	⿰&GT-K00594;&GT-K00594;
M-48909 	&I-M-48909;	⿰𠂤不
M-48910 	&I-M-48910;	⿱&U-i001+2FFB;⿱丿人从𠬞
M-48911 	&I-M-48911;	⿰卮甫
M-48912 	&M-48912;	
M-48913 	&M-48913;	
M-48914 	&I-M-48914;	⿳&AJ1-04110;厶&CDP-856A;
M-48915 	&I-M-48915;	⿱&CDP-8AFC;⿱一&CDP-8660;
M-48916 	&I-M-48916;	⿰亻勻
M-48917 	&I-M-48917;	⿰亻末
M-48918 	&I-M-48918;	⿱&CDP-8AFC;夗
M-48919 	&I-M-48919;	⿱从&CDP-8BE8;
M-48920 	&I-M-48920;	⿱⿱𠆢䒑&CDP-8BE8;
M-48921 	&I-M-48921;	⿰亻眇
M-48922 	&I-M-48922;	⿱⿵𠆢土美
M-48923 	&I-M-48923;	⿰亻𧰼
M-48924 	&M-48924;	⿰亻&U-i003+20A27;
M-48925 	&I-M-48925;	
M-48926 	&I-M-48926;	⿸𡰤儿
M-48927 	&I-M-48927;	⿱元电
M-48928 	&I-M-48928;	⿱元&CDP-88E5;
M-48929 	&I-M-48929;	⿰光&C1-615E;
M-48930 	&I-M-48930;	⿰光睪
M-48931 	&I-M-48931;	
M-48932 	&I-M-48932;	⿵冂卄
M-48933 	&I-M-48933;	⿱一冉
M-48934 	&I-M-48934;	⿵&GT-K01266;小
M-48935 	&I-M-48935;	
M-48936 	&I-M-48936;	
M-48937 	&I-M-48937;	⿰册刂
M-48938 	&I-M-48938;	⿰&GT-02003;刂
M-48939 	&I-M-48939;	⿰录刂
M-48940 	&I-M-48940;	⿰⿳艹巛夕刂
M-48941 	&I-M-48941;	⿸&U-i003+20A7A;刀
M-48942 	&I-M-48942;	⿰出力
M-48943 	&I-M-48943;	⿺克力
M-48944 	&I-M-48944;	
M-48945 	&I-M-48945;	⿰&CDP-8BC5;匕
M-48946 	&I-M-48946;	⿱匕甘
M-48947 	&M-48947;	⿰&M-23933;𠤎
M-48948 	&M-48948;	⿱丷&U-v002+5338;
M-48949 	&M-48949;	
M-48950 	&I-M-48950;	
M-48951 	&I-M-48951;	⿱占&CDP-85F8;
M-48952 	&I-M-48952;	⿹印心
M-48953 	&I-M-48953;	⿸&GT-K00818;&CDP-8C44;
M-48954 	&I-M-48954;	⿸厂⿱合缶
M-48955 	&I-M-48955;	⿸⿸厂&CDP-86EA;&U-i002+2FF1;𦥑&U-i001+4E42;
M-48956 	&I-M-48956;	⿱㐅厷
M-48957 	&I-M-48957;	
M-48958 	&I-M-48958;	⿱埶云
M-48959 	&M-48959;	⿰枲&MJ007897;
M-48960 	&I-M-48960;	⿰卪又
M-48961 	&M-48961;	
M-48962 	&I-M-48962;	⿰&MJ011234;又
M-48963 	&I-M-48963;	⿰彖又
M-48964 	&I-M-48964;	⿱叒&GT-K01116;
M-48965 	&I-M-48965;	
M-48966 	&I-M-48966;	⿱&GT-K02232;㞋
M-48967 	&I-M-48967;	⿳北㓁㞋
M-48968 	&M-48968;	
M-48969 	&I-M-48969;	⿱⺈口
M-48970 	&I-M-48970;	⿱夭口
M-48971 	&I-M-48971;	⿰口攵
M-48972 	&I-M-48972;	⿰口朿
M-48973 	&I-M-48973;	⿰口夅
M-48974 	&M-48974;	⿰口⿱衣十
M-48975 	&I-M-48975;	⿱五吾
M-48976 	&M-48976;	
M-48977 	&I-M-48977;	
M-48978 	&I-M-48978;	⿰口&CDP-88FD;
M-48979 	&I-M-48979;	⿰口𥄉
M-48980 	&I-M-48980;	⿰口&GT-K07305;
M-48981 	&M-48981;	
M-48982 	&I-M-48982;	⿰⿱口&CDP-88AE;甫
M-48983 	&I-M-48983;	⿰喬&GT-K01447;
M-48984 	&I-M-48984;	⿰&CDP-8C7A;⿳口曲日
M-48985 	&I-M-48985;	
M-48986 	&I-M-48986;	⿴囗&U-v001+34B2;
M-48987 	&M-48987;	⿴囗&U-v001+26110;
M-48988 	&I-M-48988;	⿱襾土
M-48989 	&I-M-48989;	⿰去&MJ007989;
M-48990 	&I-M-48990;	⿰坴&DJT-00054;
M-48991 	&I-M-48991;	⿰&GT-K00199;烝
M-48992 	&I-M-48992;	⿰&GT-K00199;㖾
M-48993 	&I-M-48993;	⿰&GT-K00199;&C4-3675;
M-48994 	&I-M-48994;	⿱&U-i001+7099;土
