;; -*- coding: utf-8-mcs-er -*-
HZK02-A445	&HZK02-A445;	⿱⺊厈
HZK02-A446	&HZK02-A446;	允干
HZK02-A447	&HZK02-A447;	⿱𡗜干
HZK02-A463	&HZK02-A463;	⿳⿰口口干
HZK02-A464	&HZK02-A464;	⿳⿲人人人干
HZK02-A465	&I-HZK02-A465;	⿲干弓干
HZK02-A466	&HZK02-A466;	⿰吾干
HZK02-A467	&HZK02-A467;	⿱幵并
HZK02-A468	&HZK02-A468;	⿰曷干
HZK02-A469	&HZK02-A469;	是干
HZK02-A46A	&HZK02-A46A;	⿱幵束
HZK02-C94A	&I-HZK02-C94A;	⿱下口
HZK02-C94B	&I-HZK02-C94B;	⿰口下
HZK02-A4A5	&HZK02-A4A5;	⿰由并
HZK02-A4A6	&HZK02-A4A6;	久巨并
HZK02-A4A7	&HZK02-A4A7;	⿰&CDP-8947;开
HZK02-A4A8	&HZK02-A4A8;	&GT-36329;干東
HZK02-A4A9	&HZK02-A4A9;	⿲⿱束束幵
HZK02-A4C7	&HZK02-A4C7;	⿰工𠃌
HZK02-A4C8	&HZK02-A4C8;	⿱工乚
HZK02-A4E6	&HZK02-A4E6;	⿲工亅乚
HZK02-A4E7	&HZK02-A4E7;	⿱工&CDP-89AB;
HZK02-A4E8	&HZK02-A4E8;	⿰工丩
HZK02-C94D	&I-HZK02-C94D;	⿰口&CDP-8773;
HZK02-C94E	&I-HZK02-C94E;	⿱口廾
HZK02-C94F	&I-HZK02-C94F;	⿰口大
HZK02-C950	&HZK02-C950;	⿱口大
HZK02-C951	&I-HZK02-C951;	⿰口兀
HZK02-C952	&I-HZK02-C952;	⿰口上
HZK02-C953	&I-HZK02-C953;	⿱上口
HZK02-C954	&I-HZK02-C954;	⿰口口
HZK02-A546	&HZK02-A546;	⿰工丮
HZK02-A547	&HZK02-A547;	⿱工&CDP-89CE;
HZK02-A548	&HZK02-A548;	⿱&CDP-8B6D;左
HZK02-A566	&HZK02-A566;	⿱左左
HZK02-A567	&HZK02-A567;	&CDP-8DF9;工
HZK02-A568	&HZK02-A568;	&CDP-89E1;工&GT-00376;厶&CDP-8BED;
HZK02-A56A	&HZK02-A56A;	⿱工&CDP-854D;
HZK02-A56B	&HZK02-A56B;	𠂹丆工
HZK02-A56C	&HZK02-A56C;	⿰普工
HZK02-A56D	&HZK02-A56D;	⿱法&B-AAC5;
HZK02-A56E	&HZK02-A56E;	&CDP-865B;⿰目目工
HZK02-A56F	&HZK02-A56F;	&CDP-87DD;⿰目目仝
HZK02-A5EB	&HZK02-A5EB;	⺄土
HZK02-A5EC	&HZK02-A5EC;	⿰土十
HZK02-A5EE	&HZK02-A5EE;	⿰土厂
HZK02-A5EF	&HZK02-A5EF;	&CDP-8B5F;土
HZK02-A5F0	&I-HZK02-A5F0;	⿰土卜
HZK02-A5F1	&HZK02-A5F1;	⿱土&CDP-8BC0;
HZK02-A5F3	&HZK02-A5F3;	⿱土凵
HZK02-A5F4	&HZK02-A5F4;	⿰土力
HZK02-A5F5	&HZK02-A5F5;	⿱刀士
HZK02-A64B	&HZK02-A64B;	⿰土工
HZK02-A64C	&HZK02-A64C;	⿱工土
HZK02-A64E	&HZK02-A64E;	&CDP-87A9;土
HZK02-A669	&HZK02-A669;	⿳一&GT-01888;土
HZK02-A66A	&I-HZK02-A66A;	⿱大土
HZK02-A66B	&HZK02-A66B;	⿰土大
HZK02-A66C	&I-HZK02-A66C;	⿰土上
HZK02-A66E	&HZK02-A66E;	⿱土𠔼
HZK02-A66F	&I-HZK02-A66F;	⿰土千
HZK02-A670	&I-HZK02-A670;	⿰千土
HZK02-A6AB	&I-HZK02-A6AB;	⿰土乇
HZK02-A6AC	&HZK02-A6AC;	⿰土&CDP-8AF0;
HZK02-A6B0	&HZK02-A6B0;	⿰丬土
HZK02-A6B1	&I-HZK02-A6B1;	⿰土&GT-11620;
HZK02-A6B2	&HZK02-A6B2;	⿱士尸
HZK02-A6B3	&HZK02-A6B3;	⿱土女
HZK02-A6CB	&I-HZK02-A6CB;	⿰土&CDP-89DB;
HZK02-A6CC	&HZK02-A6CC;	⿱&C1-4443;土
HZK02-A6CD	&HZK02-A6CD;	⿰土亓
HZK02-A6CE	&HZK02-A6CE;	⿱亓土
HZK02-A6CF	&HZK02-A6CF;	⿰土井
HZK02-A6D0	&I-HZK02-A6D0;	⿱井土
HZK02-A6D1	&I-HZK02-A6D1;	⿰土元
HZK02-A6D2	&I-HZK02-A6D2;	⿱元土
HZK02-A6D3	&I-HZK02-A6D3;	⿰土云
HZK02-A6D4	&HZK02-A6D4;	⿳土一&CDP-85C0;
HZK02-C9AD	&I-HZK02-C9AD;	⿰口山
HZK02-C9AE	&I-HZK02-C9AE;	⿰口千
HZK02-C9AF	&I-HZK02-C9AF;	⿱丿右
HZK02-C9B2	&I-HZK02-C9B2;	⿰口川
HZK02-CA4D	&HZK02-CA4D;	⿰口凡
HZK02-CA4E	&HZK02-CA4E;	⿰口么
HZK02-CA4F	&I-HZK02-CA4F;	⿰口&GT-00132;
HZK02-CA50	&HZK02-CA50;	⿱&GT-00132;口
HZK02-CA51	&I-HZK02-CA51;	⿰口勺
HZK02-A6EB	&HZK02-A6EB;	⿰土犬
HZK02-A6EC	&HZK02-A6EC;	⿰土太
HZK02-A6ED	&I-HZK02-A6ED;	土厂力
HZK02-A6EE	&HZK02-A6EE;	⿰土牙
HZK02-A6F0	&HZK02-A6F0;	⿱屯土
HZK02-A6F1	&HZK02-A6F1;	⿰土&C1-4552;
HZK02-A6F3	&HZK02-A6F3;	⿱旡土
HZK02-A6F4	&I-HZK02-A6F4;	⿰土互
HZK02-A6F5	&HZK02-A6F5;	土一幺
HZK02-A6F6	&I-HZK02-A6F6;	⿳一巛土
HZK02-A6F8	&I-HZK02-A6F8;	&CDP-8969;&M-03115;土
HZK02-A6F9	&HZK02-A6F9;	⿰土日
HZK02-A6FA	&I-HZK02-A6FA;	⿱日土
HZK02-A6FB	&I-HZK02-A6FB;	⿰土贝
HZK02-A6FC	&HZK02-A6FC;	⿰土&M-01418;
HZK02-A6FD	&I-HZK02-A6FD;	⿱水土
HZK02-A74C	&HZK02-A74C;	冂&M-03115;土
HZK02-A74D	&HZK02-A74D;	⿰土牛
HZK02-A74E	&HZK02-A74E;	⿰&C1-4464;土
HZK02-A74F	&HZK02-A74F;	⿰土毛
HZK02-A750	&HZK02-A750;	土𠂉一乙
HZK02-A751	&I-HZK02-A751;	⿰土攵
HZK02-A753	&I-HZK02-A753;	⿱爪土
HZK02-A754	&I-HZK02-A754;	⿰土&GT-03956;
HZK02-A755	&HZK02-A755;	&GT-03956;土
HZK02-A756	&I-HZK02-A756;	⿰土介
HZK02-A76D	&HZK02-A76D;	⿱&GT-02360;土
HZK02-A7AE	&HZK02-A7AE;	⿰土冄
HZK02-A7B0	&I-HZK02-A7B0;	⿰土勿
HZK02-A7CE	&HZK02-A7CE;	⿱勻土
HZK02-A7CF	&I-HZK02-A7CF;	土&CDP-89DE;一
HZK02-A7D0	&HZK02-A7D0;	⿰土卬
HZK02-A7D2	&I-HZK02-A7D2;	⿰土&GT-21300;
HZK02-A7D3	&HZK02-A7D3;	⿰土勾
HZK02-A7D4	&HZK02-A7D4;	土勹&M-03115;
HZK02-A7D5	&I-HZK02-A7D5;	⿰土&M-13450;
HZK02-A7EF	&HZK02-A7EF;	⿱&M-00287;壬
HZK02-A7F0	&HZK02-A7F0;	⿰土斗
HZK02-A7F1	&HZK02-A7F1;	⿰土戶
HZK02-A84F	&I-HZK02-A84F;	土冖儿
HZK02-A850	&HZK02-A850;	⿱士冗
HZK02-A851	&HZK02-A851;	土十&CDP-8C78;
HZK02-A852	&HZK02-A852;	土乚土
HZK02-A853	&I-HZK02-A853;	⿰土夬
HZK02-A854	&HZK02-A854;	土弓一
HZK02-A870	&HZK02-A870;	⿱巴土
HZK02-A871	&HZK02-A871;	⿳屮一土
HZK02-A872	&I-HZK02-A872;	&CDP-8B43;人土
HZK02-A873	&HZK02-A873;	⿰土予
HZK02-A874	&HZK02-A874;	凵厶土
HZK02-A875	&HZK02-A875;	⿰土幻
HZK02-A876	&HZK02-A876;	⿰土&B-A5DC;
HZK02-A877	&HZK02-A877;	⿰土末
HZK02-A878	&HZK02-A878;	⿰土去
HZK02-A879	&HZK02-A879;	⿰圭&M-03115;
HZK02-A87B	&HZK02-A87B;	⿳&CDP-8957;冖土
HZK02-A87C	&HZK02-A87C;	⿰土古
HZK02-A87D	&HZK02-A87D;	⿰土&GT-18344;
HZK02-A8B2	&I-HZK02-A8B2;	⿰土石
HZK02-A8B3	&HZK02-A8B3;	⿱石土
HZK02-A8B4	&HZK02-A8B4;	⿰土布
HZK02-A8B5	&HZK02-A8B5;	土大二
HZK02-A8B6	&I-HZK02-A8B6;	⿱&CDP-89AF;土
HZK02-A8B7	&HZK02-A8B7;	⿱&GT-27544;土
HZK02-A8B8	&I-HZK02-A8B8;	⿰土犮
HZK02-A8BA	&HZK02-A8BA;	⿱&M-09167;土
HZK02-A8BB	&HZK02-A8BB;	⿱北土
HZK02-CAAF	&I-HZK02-CAAF;	⿱&M-00287;口
HZK02-CAB0	&I-HZK02-CAB0;	⿰口丫
HZK02-CAB1	&I-HZK02-CAB1;	⿱口&CDP-8961;
HZK02-CAB2	&HZK02-CAB2;	⿰口尸
HZK02-CAB3	&I-HZK02-CAB3;	⿱己口
HZK02-CAB5	&I-HZK02-CAB5;	⿱口子
HZK02-CAB6	&I-HZK02-CAB6;	凵口亅
HZK02-CAB7	&I-HZK02-CAB7;	⿰口也
HZK02-CAB8	&I-HZK02-CAB8;	⿰口&C1-4443;
HZK02-CAB9	&I-HZK02-CAB9;	⿰口&CDP-8A50;
HZK02-CABB	&I-HZK02-CABB;	⿱口巛
HZK02-CABC	&HZK02-CABC;	⿰口王
HZK02-CACF	&I-HZK02-CACF;	⿱口王
HZK02-CAD0	&I-HZK02-CAD0;	⿰口开
HZK02-CAD1	&I-HZK02-CAD1;	⿱口&GT-07370;
HZK02-CAD3	&I-HZK02-CAD3;	⿰口夫
HZK02-CAD4	&I-HZK02-CAD4;	⿰口&CDP-8A72;
HZK02-CAD5	&I-HZK02-CAD5;	口&CDP-89E3;乙
HZK02-CAD6	&I-HZK02-CAD6;	⿰口扎
HZK02-CAD7	&I-HZK02-CAD7;	口&CDP-8957;乙
HZK02-CAD8	&HZK02-CAD8;	⿰口木
HZK02-CADA	&HZK02-CADA;	⿰口五
HZK02-CAEF	&I-HZK02-CAEF;	⿰口帀
HZK02-CAF1	&I-HZK02-CAF1;	⿱&CDP-8B5F;古
HZK02-CB50	&I-HZK02-CB50;	⿱&CDP-8BE2;&CDP-8BED;
HZK02-CB53	&I-HZK02-CB53;	口匚㐅
HZK02-CB54	&I-HZK02-CB54;	口厂力
HZK02-CB55	&HZK02-CB55;	⿰口尤
HZK02-CB57	&I-HZK02-CB57;	⿰口歹
HZK02-CB58	&HZK02-CB58;	⿰口&M-02673;
HZK02-CB59	&HZK02-CB59;	⿱口&M-02673;
HZK02-CB71	&I-HZK02-CB71;	⿰口戈
HZK02-CB72	&I-HZK02-CB72;	⿰口&C1-4552;
HZK02-CB73	&I-HZK02-CB73;	⿰口互
HZK02-CB74	&I-HZK02-CB74;	口一幺
HZK02-CB75	&I-HZK02-CB75;	⿰口&GT-27544;
HZK02-CB76	&I-HZK02-CB76;	⿰口&CDP-8B68;
HZK02-CB78	&I-HZK02-CB78;	⿰口尐
HZK02-CB79	&I-HZK02-CB79;	⿰口冄
HZK02-CB7A	&I-HZK02-CB7A;	⿰口日
HZK02-CB7B	&I-HZK02-CB7B;	⿱口日
HZK02-CB7C	&I-HZK02-CB7C;	⿱口&CDP-8BDE;
HZK02-A8D1	&I-HZK02-A8D1;	土⺊尸
HZK02-A8D2	&I-HZK02-A8D2;	⿳⺌冖土
HZK02-A8D4	&I-HZK02-A8D4;	⿰土且
HZK02-A8D5	&HZK02-A8D5;	⿰土目
HZK02-A8D6	&HZK02-A8D6;	⿰土甲
