;; -*- coding: utf-8-mcs-er -*-
HZK10-A440	&HZK10-A440;	𠂤廾&B-A8A3;
HZK10-A441	&HZK10-A441;	⿰&GT-25242;&B-A8A3;
HZK10-A442	&HZK10-A442;	⿲&B-A6E0;彡&B-A8A3;
HZK10-A444	&HZK10-A444;	⿰&B-AB5C;&CDP-89A1;
HZK10-A445	&HZK10-A445;	⿲月矢&B-A8A3;
HZK10-C943	&HZK10-C943;	⻎北匕
HZK10-C944	&HZK10-C944;	⻎⺊目
HZK10-A45B	&HZK10-A45B;	⿰宣&B-A8A3;
HZK10-A45C	&HZK10-A45C;	⿰&B-AD78;&B-A8A3;
HZK10-A45D	&HZK10-A45D;	⿰&M-11724;&B-A8A3;
HZK10-A45E	&HZK10-A45E;	⿰&GT-29045;&B-A8A3;
HZK10-A460	&HZK10-A460;	⿰&GT-02025;&CDP-89A1;
HZK10-A461	&HZK10-A461;	⿰&B-AFCF;&B-A8A3;
HZK10-A462	&HZK10-A462;	&B-A6DA;火&B-A8A3;
HZK10-A463	&HZK10-A463;	來刀&B-A8A3;
HZK10-A464	&HZK10-A464;	𠃊𠧪&B-A8A3;
HZK10-A465	&HZK10-A465;	⿰員&B-A8A3;
HZK10-A466	&HZK10-A466;	囗𦣻&B-A8A3;
HZK10-A47B	&HZK10-A47B;	⺤&B-A6CE;&B-A8A3;
HZK10-A47C	&HZK10-A47C;	⿰&GT-29427;&B-A8A3;
HZK10-A47D	&HZK10-A47D;	&B-A8A3;&CDP-8CDA;
HZK10-A47E	&HZK10-A47E;	⿰&GT-17242;&B-A8A3;
HZK10-C945	&HZK10-C945;	⻎⺊𠕁
HZK10-C948	&HZK10-C948;	⻎&B-A8BD;
HZK10-A4A3	&HZK10-A4A3;	⿰𠁁&B-A8A3;
HZK10-A4A4	&HZK10-A4A4;	⿰舂&B-A8A3;
HZK10-A4A5	&HZK10-A4A5;	⿱舂&B-A8A3;
HZK10-A4A6	&HZK10-A4A6;	⿰&B-B364;&B-A8A3;
HZK10-A4A8	&HZK10-A4A8;	⿰堇&CDP-89A1;
HZK10-A4A9	&HZK10-A4A9;	⿱斬&B-A8A3;
HZK10-A4BD	&HZK10-A4BD;	⿰&B-B2BC;&B-A8A3;
HZK10-A4BE	&HZK10-A4BE;	⿱&CDP-8CD2;&B-A8A3;
HZK10-A4C0	&HZK10-A4C0;	&B-CA4F;业&CDP-89A1;
HZK10-A4C1	&HZK10-A4C1;	&B-CA4F;且&B-A8A3;
HZK10-A4C2	&HZK10-A4C2;	⿱&B-E446;心
HZK10-A4C3	&HZK10-A4C3;	⿰婁&B-A8A3;
HZK10-A4C4	&HZK10-A4C4;	𠂉&CDP-88F1;&CDP-8965;&B-A8A3;
HZK10-A4C5	&HZK10-A4C5;	⿰&M-28665;&B-A8A3;
HZK10-A4C6	&HZK10-A4C6;	⿰棥&B-A8A3;
HZK10-A4C7	&HZK10-A4C7;	⿰&B-B5F7;&B-A8A3;
HZK10-A4C8	&HZK10-A4C8;	止厓&B-A8A3;
HZK10-A4C9	&HZK10-A4C9;	⿱&GT-16787;&B-A8A3;
HZK10-A4CA	&HZK10-A4CA;	⿰&B-B652;&B-A8A3;
HZK10-A4CB	&HZK10-A4CB;	⿰智&B-A8A3;
HZK10-A4CC	&HZK10-A4CC;	⿰皋&B-A8A3;
HZK10-A4CE	&HZK10-A4CE;	⿰&GT-18103;&B-A8A3;
HZK10-A4CF	&HZK10-A4CF;	⿰&B-B5A3;&B-A8A3;
HZK10-A4DD	&HZK10-A4DD;	⿰粦&B-A8A3;
HZK10-A4DE	&HZK10-A4DE;	⿰&B-B6A1;&B-A8A3;
HZK10-A4DF	&HZK10-A4DF;	⿰&B-B6A2;&B-A8A3;
HZK10-A4E0	&HZK10-A4E0;	⿰登&B-A8A3;
HZK10-A4E1	&HZK10-A4E1;	⺿一弓&CDP-88C2;&B-A8A3;
HZK10-A4E2	&HZK10-A4E2;	朿&B-A8A9;&B-A8A3;
HZK10-A4E3	&HZK10-A4E3;	⿰&CDP-8CB1;&B-A8A3;
HZK10-C962	&HZK10-C962;	⻎日廾
HZK10-A4FE	&HZK10-A4FE;	⿰&GT-12872;&B-A8A3;
HZK10-A540	&HZK10-A540;	⿱&GT-12872;&B-A8A3;
HZK10-A541	&HZK10-A541;	廿&CDP-85B2;土&B-A8A3;
HZK10-A542	&HZK10-A542;	⿰爾&B-A8A3;
