;; -*- coding: utf-8-mcs-er -*-
HZK12-A441	&HZK12-A441;	⿺風卑
HZK12-A442	&HZK12-A442;	⿺風&GT-25238;
HZK12-A443	&HZK12-A443;	⿰&B-AAF7;風
HZK12-A444	&HZK12-A444;	⿺風周
HZK12-A445	&HZK12-A445;	⿺風忽
HZK12-A446	&HZK12-A446;	⿺風&C1-4B6B;
HZK12-A447	&HZK12-A447;	⿰&C1-4B6B;風
HZK12-A448	&HZK12-A448;	⿺風卒
HZK12-A449	&HZK12-A449;	⿺風咅
HZK12-A44A	&HZK12-A44A;	⿺風炎
HZK12-A44B	&HZK12-A44B;	⿺風&G0-6C65;
HZK12-A44C	&HZK12-A44C;	⿺風㞑
HZK12-A44D	&HZK12-A44D;	⿺風甾
HZK12-A44E	&HZK12-A44E;	⿺風𠜊
HZK12-A44F	&HZK12-A44F;	⿺風&C1-5341;
HZK12-A450	&HZK12-A450;	⿰&C1-5341;風
HZK12-A451	&HZK12-A451;	⿺風&CDP-8CAD;
HZK12-A452	&HZK12-A452;	⿺風剌
HZK12-A453	&HZK12-A453;	⿺風畐
HZK12-A454	&HZK12-A454;	⿺風奓
HZK12-A455	&HZK12-A455;	⿺風皆
HZK12-A456	&HZK12-A456;	⿰皆風
HZK12-A461	&HZK12-A461;	⿰昜風
HZK12-A462	&HZK12-A462;	⿺風&GT-37971;
HZK12-A464	&HZK12-A464;	⿺&CDP-8A51;思
HZK12-A465	&HZK12-A465;	⿺風&GT-32182;
HZK12-A467	&HZK12-A467;	⿺&CDP-8A51;叟
HZK12-A468	&HZK12-A468;	⿺風皇
HZK12-A469	&HZK12-A469;	⿺風泉
HZK12-C949	&HZK12-C949;	⿰敕&B-B3BE;
HZK12-C94B	&HZK12-C94B;	⿰&B-B3BE;區
HZK12-A4A3	&HZK12-A4A3;	⿺風禹
HZK12-A4A4	&HZK12-A4A4;	⿺風&C1-4F6C;
HZK12-A4A5	&HZK12-A4A5;	⿺風𢍄
HZK12-A4A6	&HZK12-A4A6;	⿺風俞
HZK12-A4A7	&HZK12-A4A7;	⿰風風
HZK12-A4A8	&HZK12-A4A8;	⿺風&B-D0B1;
HZK12-A4A9	&HZK12-A4A9;	⿰&C1-5022;風
HZK12-A4AA	&HZK12-A4AA;	⿺風&B-ADB5;
HZK12-A4AB	&HZK12-A4AB;	⿺風斿
HZK12-A4AC	&HZK12-A4AC;	⿰宣風
HZK12-A4AD	&HZK12-A4AD;	⿺風&UU+53DC;
HZK12-A4AE	&HZK12-A4AE;	⿺風韋
HZK12-A4AF	&HZK12-A4AF;	⿰韋風
HZK12-A4B0	&HZK12-A4B0;	⿺風彖
HZK12-A4B1	&HZK12-A4B1;	⿺風幽
HZK12-A4B2	&HZK12-A4B2;	⿺風&B-B0A8;
HZK12-A4B4	&HZK12-A4B4;	⿺風⿱⺿刕
HZK12-A4B5	&HZK12-A4B5;	⿺風索
HZK12-A4B6	&HZK12-A4B6;	⿺風⿱&CDP-8DEE;曰
HZK12-A4B7	&HZK12-A4B7;	⿺風栗
HZK12-A4B8	&HZK12-A4B8;	⿺風&B-B05A;
HZK12-A4C4	&HZK12-A4C4;	⿺風氣
HZK12-A4C5	&HZK12-A4C5;	⿺風⿱臼方
HZK12-A4C6	&HZK12-A4C6;	⿺風射
HZK12-A4C7	&HZK12-A4C7;	夕日夕風
HZK12-A4C8	&HZK12-A4C8;	⿺風&UU+4343;
HZK12-A4CB	&HZK12-A4CB;	⿺&CDP-8A51;留
HZK12-A4CC	&HZK12-A4CC;	⿺風&B-B0AA;
HZK12-A4CD	&HZK12-A4CD;	⿺風离
HZK12-A4CE	&HZK12-A4CE;	⿺風唐
HZK12-A4CF	&HZK12-A4CF;	⿺風宮
HZK12-A4D1	&HZK12-A4D1;	⿱&B-B1CE;風
HZK12-A4D2	&HZK12-A4D2;	⿺風專
HZK12-A4D3	&HZK12-A4D3;	⿺風曹
HZK12-A4D4	&HZK12-A4D4;	⿺風&GT-31700;
HZK12-A4E3	&HZK12-A4E3;	⿰&GT-31700;&CDP-8A51;
HZK12-A4E4	&HZK12-A4E4;	⿺風畢
HZK12-A4E5	&HZK12-A4E5;	⿺風&B-B3BE;
HZK12-A4E6	&HZK12-A4E6;	⿱風&B-B3BE;
HZK12-A4E7	&HZK12-A4E7;	⿺風旋
HZK12-A4E8	&HZK12-A4E8;	⿺風率
HZK12-A4E9	&HZK12-A4E9;	⿺風&GT-36650;
HZK12-A4EA	&HZK12-A4EA;	⿺風宿
HZK12-A4EB	&HZK12-A4EB;	⿺風&B-B6A6;
HZK12-A4EE	&HZK12-A4EE;	⿰&UU+7FCF;風
HZK12-A4EF	&HZK12-A4EF;	⿺風&B-B6C0;
HZK12-A4F0	&HZK12-A4F0;	⿰&B-B6C0;風
HZK12-A4F1	&HZK12-A4F1;	⿺風⿱&CDP-89B6;田
HZK12-C94D	&HZK12-C94D;	⿰&GT-31700;&B-B3BE;
HZK12-C94E	&HZK12-C94E;	⿰&CDP-8DA9;&B-B3BE;
HZK12-C950	&HZK12-C950;	⿱殹&CDP-8A52;
HZK12-C952	&HZK12-C952;	⿰&B-B3B8;&B-B3BE;
HZK12-A544	&HZK12-A544;	⿺風猋
HZK12-A546	&HZK12-A546;	⿰猋&CDP-8A51;
HZK12-A548	&HZK12-A548;	⿰&CDP-8CF2;風
