;; -*- coding: utf-8-mcs-er -*-
U-0002F800	丽	⿰⿱一𠔼⿱一𠔼
U-0002F801	丸	⿻九丶
U-0002F802	乁	乁
U-0002F803	&C6-2566;	⿳一&AJ1-04220;一
U-0002F804	&U-0002F804;	⿰亻&J90-5575;
U-0002F805	侮	⿰亻毎
U-0002F806	侻	⿰亻兑
U-0002F807	倂	⿰亻&C3-2863;
U-0002F808	偺	⿰亻⿱⿺夂卜日
U-0002F809	備	⿰亻⿱卝⿸丆用
U-0002F80A	僧	⿰亻曽
U-0002F80B	&C6-5A72;	⿰亻&U-00027C3C;
U-0002F80C	㒞	⿰亻嶲
U-0002F80D	𠘺	⿳&AJ1-04110;厶儿
U-0002F80E	免	⿱刀⿱&CDP-8BDE;儿
U-0002F80F	兔	⿷免丶
U-0002F810	兤	⿰光&GT-11938;
U-0002F811	具	⿳目一&AJ1-03392;
U-0002F812	𠔜	⿱𦥔⿱一&AJ1-03392;
U-0002F813	㒹	⿰&GT-29751;&GT-29751;
U-0002F814	內	⿻冂人
U-0002F815	再	⿱一&AJ1-04222;
U-0002F816	&C6-2359;	⿻⿰冂冂二
U-0002F817	冗	⿱冖儿
U-0002F818	&AJ1-07817;	⿱冖兔
U-0002F819	仌	⿱人人
U-0002F81A	冬	⿱夂冫
U-0002F81B	况	⿰二兄
U-0002F81C	𩇟	⿰冫⿰&M-42564;見
U-0002F81D	凵	凵
U-0002F81E	刃	⿻刀丶
U-0002F81F	㓟	⿰皮刂
U-0002F820	刻	⿰⿱&AJ1-04110;⿸&CDP-89C2;人刂
U-0002F821	&G-IU+2F821;	⿰&GT-39586;刂
U-0002F822	&U-0002F822;	⿰⿳&GT-08869;&AJ1-14301;口刂
U-0002F823	剷	⿰&GT-27847;刂
U-0002F824	㔕	⿺气力
U-0002F825	勇	⿳龴田力
U-0002F826	勉	⿺&AJ1-03796;力
U-0002F827	勤	⿰⿱&GT-39639;&CDP-8A6D;力
U-0002F828	勺	⿹勹一
U-0002F829	包	⿹勹己
U-0002F82A	匆	⿻勿乀
U-0002F82B	北	北
