;; -*- coding: utf-8-mcs-er -*-
U-00024000	𤀀	⿰⺡粤
U-00024001	𤀁	⿱泉沝
U-00024002	𤀂	⿰⺡敬
U-00024003	𤀃	⿰⺡⿸虍言
U-00024004	𤀄	⿰⺡盟
U-00024005	𤀅	⿰⺡⿱𡘜𠮛
U-00024006	𤀆	⿰⺡⿱山竝
U-00024007	𤀇	⿰⺡䋣
U-00024008	𤀈	⿰⺡⿱⿴&CDP-8CC8;&CDP-89D4;大
U-00024009	𤀉	⿰⺡⿱合&CDP-8BDC;
U-0002400A	𤀊	⿰⺡&CDP-8D79;
U-0002400B	𤀋	⿰⺡𡩟
U-0002400C	𤀌	⿰⺡&CDP-8DAA;
U-0002400D	𤀍	⿰⺡⿱⻗㐱
U-0002400E	𤀎	⿰⺡𥇡
U-0002400F	𤀏	⿰⺡試
U-00024010	𤀐	⿰⺡蒂
U-00024011	𤀑	⿰⺡寗
U-00024012	𤀒	⿰⺡愈
U-00024013	𤀓	⿰⺡䘵
U-00024014	𤀔	⿰⺡飲
U-00024015	𤀕	⿰⺡塞
U-00024016	𤀖	⿰⺡嵬
U-00024017	𤀗	⿲⺡先呂
U-00024018	𤀘	⿰⺡葻
U-00024019	𤀙	⿰⺡鳴
U-0002401A	𤀚	⿰⺡⿱⺾⿵门杀
U-0002401B	𤀛	⿲⺡尼來
U-0002401C	𤀜	⿰⺡晴
U-0002401D	𤀝	⿲⺡素阝
U-0002401E	𤀞	⿰⺡著
U-0002401F	𤀟	⿰⺡⿱兹土
U-00024020	𤀠	⿰⺡熙
U-00024021	𤀡	⿰⺡&AJ1-02771;
U-00024022	𤀢	⿱法空
U-00024023	𤀣	⿰⺡暖
U-00024024	𤀤	⿰⺡算
U-00024025	𤀥	⿰⺡箅
U-00024026	𤀦	⿰⺡⿱剌石
U-00024027	𤀧	⿰⺡⿱免免
U-00024028	𤀨	⿰⺡窬
U-00024029	𤀩	⿱&CDP-8D50;水
U-0002402A	𤀪	⿰⺡頗
U-0002402B	𤀫	⿰⺡辡
U-0002402C	𤀬	⿰⺡⿳米&CDP-8BB7;大
U-0002402D	𤀭	⿰⺡⿳⿰口口一貝
U-0002402E	𤀮	⿰⺡⿳亠⿰厶厶林
U-0002402F	𤀯	⿰⺡⿱魚寸
U-00024030	𤀰	⿰⺡暠
U-00024031	𤀱	⿰⺡⿺⻌⿱大⺸
U-00024032	𤀲	⿲辛水辛
U-00024033	𤀳	⿰⺡聞
U-00024034	𤀴	⿰⺡⿹&CDP-8CBB;豕
U-00024035	𤀵	⿰⺡⿵門行
U-00024036	𤀶	⿰⺡&CDP-8D73;
U-00024037	𤀷	⿱津育
U-00024038	𤀸	⿰⺡⿱大魚
U-00024039	𤀹	⿰⺡⿱⺊⿸&CDP-88E2;⿳一⿱八&GT-00458;目
U-0002403A	𤀺	⿰⺡嘉
U-0002403B	𤀻	⿰⺡⿱艸罙
U-0002403C	𤀼	⿰⺡綠
U-0002403D	𤀽	⿰⺡綺
U-0002403E	𤀾	⿰⺡⿱业⿻𢆉艹
U-0002403F	𤀿	⿰⺡⿱宀爽
U-00024040	𤁀	⿰⺡彰
U-00024041	𤁁	⿰⺡⿱⿲⿱亠&CDP-88CD;了⿱一⺙牛
U-00024042	𤁂	⿰⺡實
U-00024043	𤁃	⿱滿山
U-00024044	𤁄	⿰⺡⿸厂⿱田坴
U-00024045	𤁅	⿰⺡臺
U-00024046	𤁆	⿰⺡⿱⺫哀
U-00024047	𤁇	⿰⺡&C1-6A5C;
U-00024048	𤁈	⿰⺡𥯀
U-00024049	𤁉	⿰⺡⿳廿&CDP-85B2;土
U-0002404A	𤁊	⿰⺡⿳卝&GT-36329;犮
U-0002404B	𤁋	⿰⺡歴
U-0002404C	𤁌	⿰⺡⿱&CDP-8D7C;廾
U-0002404D	𤁍	⿰⺡⿰⿸尸止⿸尸止
U-0002404E	𤁎	⿰⺡⿳&CDP-8BD5;日&CDP-8A64;
U-0002404F	𤁏	⿰⺡耤
U-00024050	𤁐	⿰⺡閣
U-00024051	𤁑	⿰⺡⿳山日成
U-00024052	𤁒	⿰⺡疑
U-00024053	𤁓	⿰⺡瑤
U-00024054	𤁔	⿰⺡魁
U-00024055	𤁕	⿰⺡&GT-51576;
U-00024056	𤁖	⿰⺡裸
U-00024057	𤁗	⿰⺡&GT-35558;
U-00024058	𤁘	⿰⺡⿺竜中
U-00024059	𤁙	⿱扒減
U-0002405A	𤁚	⿰⺡⿲彳⿱山元⺙
U-0002405B	𤁛	⿲⺡者孕
U-0002405C	𤁜	⿰⺡⿳亠⿲刀丫&CDP-89CA;牛
U-0002405D	𤁝	⿰⺡閩
U-0002405E	𤁞	⿱滿水
U-0002405F	𤁟	⿱⺡⿹&CDP-8AC2;口
U-00024060	𤁠	⿰⺡⿺⻌䍃
U-00024061	𤁡	⿰⺡撢
U-00024062	𤁢	⿲⺡雀戈
U-00024063	𤁣	⿰⺡罷
U-00024064	𤁤	⿰⺡歎
U-00024065	𤁥	⿰⺡輦
U-00024066	𤁦	⿰溓瓦
U-00024067	𤁧	⿰⺡齒
U-00024068	𤁨	⿰⺡瞍
U-00024069	𤁩	⿰⺡質
U-0002406A	𤁪	⿰活頁
U-0002406B	𤁫	⿰⺡⿰⿱八允頁
U-0002406C	𤁬	⿰⺡&C1-6E5E;
U-0002406D	𤁭	⿰⺡⿱或&GT-47107;
U-0002406E	𤁮	⿰⺡蓲
U-0002406F	𤁯	⿰⺡&CDP-8D47;
U-00024070	𤁰	⿰潪亍
U-00024071	𤁱	⿰⺡蔡
U-00024072	𤁲	⿰⺡徹
U-00024073	𤁳	⿰⺡霅
U-00024074	𤁴	⿰⺡劇
U-00024075	𤁵	⿰⺡閭
U-00024076	𤁶	⿰⺡⿱&GT-00458;&CDP-85AE;
U-00024077	𤁷	⿰⺡適
U-00024078	𤁸	⿰⺡蓼
U-00024079	𤁹	⿰⺡⿵門赤
U-0002407A	𤁺	⿰⺡⿱𠂹⿸丆工
U-0002407B	𤁻	⿰⺡&C4-4C62;
U-0002407C	𤁼	⿲⺡&CDP-8CCA;⿱又米
U-0002407D	𤁽	⿰⺡⿱&CDP-8BE3;目
U-0002407E	𤁾	⿰⺡&CDP-8AE3;
U-0002407F	𤁿	⿰⺡⿱&CDP-8BC6;胃
U-00024080	𤂀	⿱滿天
U-00024081	𤂁	⿰⺡⿰⺯⿳士冖牛
U-00024082	𤂂	⿰⺡調
U-00024083	𤂃	⿳洎&GT-00458;&CDP-8744;
U-00024084	𤂄	⿰濎刂
U-00024085	𤂅	⿰⺡⿰青寽
U-00024086	𤂆	⿰⺡⿰孚&GT-44178;
U-00024087	𤂇	⿰⺡⿱兹孖
