;; -*- coding: utf-8-mcs-er -*-
U-00028000	𨀀	⿰⻊尒
U-00028001	𨀁	⿰⻊龙
U-00028002	𨀂	⿱石足
U-00028003	𨀃	⿰⻊圣
U-00028004	𨀄	⿰⻊瓦
U-00028005	𨀅	⿰⻊冉
U-00028006	𨀆	⿰⻊叏
U-00028007	𨀇	⿰⻊⿹弓人
U-00028008	𨀈	⿰⻊北
U-00028009	𨀉	⿰⻊宁
U-0002800A	𨀊	⿰⻊孕
U-0002800B	𨀋	⿰⻊仕
U-0002800C	𨀌	⿰⻊另
U-0002800D	𨀍	⿰⻊用
U-0002800E	𨀎	⿰⻊立
U-0002800F	𨀏	⿰⻊旦
U-00028010	𨀐	⿰⻊冬
U-00028011	𨀑	⿱&AJ1-01422;足
U-00028012	𨀒	⿰⻊布
U-00028013	𨀓	⿰⻊⿱&CDP-8B5B;巳
U-00028014	𨀔	⿰⻊&CDP-86BF;
U-00028015	𨀕	⿰⻊匡
U-00028016	𨀖	⿰⻊亥󠄀
U-00028017	𨀗	⿰⻊⿱大㐄
U-00028018	𨀘	⿰⻊羊
U-00028019	𨀙	⿰⻊吉
U-0002801A	𨀚	⿰⻊尗
U-0002801B	𨀛	⿰⻊存
U-0002801C	𨀜	⿰⻊同
U-0002801D	𨀝	⿰⻊⿱又⿰又又
U-0002801E	𨀞	⿰⻊聿
U-0002801F	𨀟	⿰⻊⿸广乇
U-00028020	𨀠	⿰⻊⿸广干
U-00028021	𨀡	⿰⻊灰
U-00028022	𨀢	⿰⻊𠕋
U-00028023	𨀣	⿰⻊企
U-00028024	𨀤	⿰⻊耒
U-00028025	𨀥	⿰⻊次
U-00028026	𨀦	⿰⻊&CDP-8CE9;
U-00028027	𨀧	⿰⻊丞
U-00028028	𨀨	⿰⻊⿱巛夕
U-00028029	𨀩	⿰⻊冎
U-0002802A	𨀪	⿰⻊曲
U-0002802B	𨀫	⿰⻊⿱𠂉亢󠄀
U-0002802C	𨀬	⿰⻊在
U-0002802D	𨀭	⿰⻊⿸𠂆⿱十几
U-0002802E	𨀮	⿰⻊&CDP-8B6A;
U-0002802F	𨀯	⿰⻊邛
U-00028030	𨀰	⿰⻊⿰冫水
U-00028031	𨀱	⿰⻊麦
U-00028032	𨀲	⿰曲足
U-00028033	𨀳	⿰⻊伐
U-00028034	𨀴	⿰⻊旬
U-00028035	𨀵	⿰⻊庄
U-00028036	𨀶	⿱亦足
U-00028037	𨀷	⿰⻊米
U-00028038	𨀸	⿰⻊宅
U-00028039	𨀹	⿰⻊江
U-0002803A	𨀺	⿰⻊列
U-0002803B	𨀻	⿰⻊戎
U-0002803C	𨀼	⿰⻊老
U-0002803D	𨀽	⿰⻊吊
U-0002803E	𨀾	⿰⻊汝
U-0002803F	𨀿	⿰⻊亙
U-00028040	𨁀	⿸攸足
U-00028041	𨁁	⿰⻊&CDP-8DA6;
U-00028042	𨁂	⿰⻊夾
U-00028043	𨁃	⿰⻊弟
U-00028044	𨁄	⿰⻊旱
U-00028045	𨁅	⿰⻊辛
U-00028046	𨁆	⿰⻊延
U-00028047	𨁇	⿰⻊吞
U-00028048	𨁈	⿰⻊更
U-00028049	𨁉	⿰⻊困
U-0002804A	𨁊	⿰⻊&GT-09990;
U-0002804B	𨁋	⿰⻊豆
U-0002804C	𨁌	⿰⻊那
U-0002804D	𨁍	⿰⻊見
U-0002804E	𨁎	⿰⻊呈
U-0002804F	𨁏	⿰⻊甫
U-00028050	𨁐	⿰⻊⿱𠫓廾
U-00028051	𨁑	⿰⻊兌
U-00028052	𨁒	⿰⻊告
U-00028053	𨁓	⿰⻊⿱丿⿰&CDP-8BC5;⿺⺃匕
U-00028054	𨁔	⿰⻊作
U-00028055	𨁕	⿰⻊𠦑
U-00028056	𨁖	⿰⻊谷
U-00028057	𨁗	⿰⻊⿺廴壬
U-00028058	𨁘	⿱⿰扌止足
U-00028059	𨁙	⿰⻊免
U-0002805A	𨁚	⿰⻊&GT-08898;
U-0002805B	𨁛	⿱求足
U-0002805C	𨁜	⿰⻊扶
U-0002805D	𨁝	⿰⻊孛
U-0002805E	𨁞	⿰⻊⿱目匕
U-0002805F	𨁟	⿰⻊我
U-00028060	𨁠	⿰⻊⿱升土
U-00028061	𨁡	⿰⻊妥
U-00028062	𨁢	⿱釆足
U-00028063	𨁣	⿰⻊⿱夂火
U-00028064	𨁤	⿰⻊床
U-00028065	𨁥	⿱杜足
U-00028066	𨁦	⿰⻊弄
U-00028067	𨁧	⿰⻊⿱山内
U-00028068	𨁨	⿰⻊狂
U-00028069	𨁩	⿰⻊把
U-0002806A	𨁪	⿰⻊酉
U-0002806B	𨁫	⿰⻊里
U-0002806C	𨁬	⿰⻊伸
U-0002806D	𨁭	⿰⻊妙
U-0002806E	𨁮	⿰⻊吝
U-0002806F	𨁯	⿰⻊赤
U-00028070	𨁰	⿰⻊吹
U-00028071	𨁱	⿰⻊尾
U-00028072	𨁲	⿰⻊邑
U-00028073	𨁳	⿰⻊⿹&CDP-86C6;方
U-00028074	𨁴	⿰⻊间
U-00028075	𨁵	⿰⻊府
U-00028076	𨁶	⿰⻊亞
U-00028077	𨁷	⿰⻊直
U-00028078	𨁸	⿰⻊戾
U-00028079	𨁹	⿰⻊炎
U-0002807A	𨁺	⿰⻊具
U-0002807B	𨁻	⿰⻊⿱𠫓木
U-0002807C	𨁼	⿰⻊奔
U-0002807D	𨁽	⿰⻊&CDP-8ACD;
U-0002807E	𨁾	⿰⻊⿱止&CDP-8B68;
U-0002807F	𨁿	⿰⻊豖
U-00028080	𨂀	⿰⻊阻
U-00028081	𨂁	⿰⻊奄
U-00028082	𨂂	⿰⻊炙
U-00028083	𨂃	⿰⻊朋
U-00028084	𨂄	⿰⻊&C1-4B6E;
U-00028085	𨂅	⿰⻊㡀
U-00028086	𨂆	⿰⻊匋
U-00028087	𨂇	⿰⻊⿸戶止
U-00028088	𨂈	⿰⻊⿱日王
U-00028089	𨂉	⿰⻊厓
U-0002808A	𨂊	⿰⻊周
U-0002808B	𨂋	⿰⻊斉
U-0002808C	𨂌	⿰⻊&GT-08939;
U-0002808D	𨂍	⿰⻊𡘆
U-0002808E	𨂎	⿰⻊雨
U-0002808F	𨂏	⿰⻊⿱廿木
U-00028090	𨂐	⿰⻊來
U-00028091	𨂑	⿰⻊⿸虍人
U-00028092	𨂒	⿰⻊夜
U-00028093	𨂓	⿰⻊⿱丑󠄀丑󠄀
U-00028094	𨂔	⿰⻊&GT-37901;
U-00028095	𨂕	⿰⻊林
U-00028096	𨂖	⿰⻊泣
U-00028097	𨂗	⿰⻊孤
U-00028098	𨂘	⿰⻊㸒
U-00028099	𨂙	⿰⻊京
U-0002809A	𨂚	⿰⻊⿱&I-CDP-8B55;共
U-0002809B	𨂛	⿰⻊⿱𡗜干
U-0002809C	𨂜	⿰⻊虎
U-0002809D	𨂝	⿱並足
U-0002809E	𨂞	⿱足並
U-0002809F	𨂟	⿰⻊⿳𠂉&I-C4-2148;儿
U-000280A0	𨂠	⿰⻊頁
U-000280A1	𨂡	⿰⻊奏
U-000280A2	𨂢	⿱即足
U-000280A3	𨂣	⿱⿰矛攵足
U-000280A4	𨂤	⿰⻊致
U-000280A5	𨂥	⿰⻊客
U-000280A6	𨂦	⿰⻊彖
U-000280A7	𨂧	⿰⻊𦍒
U-000280A8	𨂨	⿰⻊羍
U-000280A9	𨂩	⿰⻊癹
U-000280AA	𨂪	⿰⻊彥
U-000280AB	𨂫	⿰⻊⿸广屰
U-000280AC	𨂬	⿳&CDP-8D52;田足
U-000280AD	𨂭	⿰⻊⿱龶母
U-000280AE	𨂮	⿳&CDP-8AFC;&CDP-8B62;足
U-000280AF	𨂯	⿰⻊便
U-000280B0	𨂰	⿰⻊契
U-000280B1	𨂱	⿰⻊軍
U-000280B2	𨂲	⿰⻊屏
U-000280B3	𨂳	⿰⻊⿳⿰弓弓一八
U-000280B4	𨂴	⿰⻊⿱匆心
U-000280B5	𨂵	⿰⻊臿
U-000280B6	𨂶	⿰⻊⿸虍巾
U-000280B7	𨂷	⿰⻊厘
U-000280B8	𨂸	⿰⻊侯
U-000280B9	𨂹	⿰⻊⿳刀田刀
U-000280BA	𨂺	⿰⻊弯
U-000280BB	𨂻	⿰⻊⿱⺤旧
U-000280BC	𨂼	⿰⻊豸
U-000280BD	𨂽	⿰⻊⿱石水
U-000280BE	𨂾	⿰⻊南
U-000280BF	𨂿	⿰⻊歪
U-000280C0	𨃀	⿰⻊柬
U-000280C1	𨃁	⿰⻊財
U-000280C2	𨃂	⿰⻊咸
U-000280C3	𨃃	⿰⻊曷
U-000280C4	𨃄	⿰⻊畏
U-000280C5	𨃅	⿰⻊拜
U-000280C6	𨃆	⿰⻊胍
U-000280C7	𨃇	⿰⻊姜
U-000280C8	𨃈	⿰⻊巷
U-000280C9	𨃉	⿰⻊待
U-000280CA	𨃊	⿰⻊点
U-000280CB	𨃋	⿰⻊芾
U-000280CC	𨃌	⿰⻊持
U-000280CD	𨃍	⿰⻊突
U-000280CE	𨃎	⿰⻊⿱⿰刂又皿
U-000280CF	𨃏	⿰⻊侵
U-000280D0	𨃐	⿰⻊苔
U-000280D1	𨃑	⿰⻊挑
U-000280D2	𨃒	⿰⻊⿳刀用力
U-000280D3	𨃓	⿰⻊茶
U-000280D4	𨃔	⿰⻊臬
U-000280D5	𨃕	⿰⻊畜
U-000280D6	𨃖	⿰⻊荂
U-000280D7	𨃗	⿸朕足
U-000280D8	𨃘	⿰⻊芻
U-000280D9	𨃙	⿰⻊栗
U-000280DA	𨃚	⿰⻊荅
U-000280DB	𨃛	⿰⻊⿰⻖辛
U-000280DC	𨃜	⿰⻊條
U-000280DD	𨃝	⿰⻊徒
U-000280DE	𨃞	⿱般足
U-000280DF	𨃟	⿰⻊般
U-000280E0	𨃠	⿰⻊唐
U-000280E1	𨃡	⿰⻊息
U-000280E2	𨃢	⿱娕足
U-000280E3	𨃣	⿰⻊蚤
U-000280E4	𨃤	⿰⻊高
U-000280E5	𨃥	⿰⻊桀
U-000280E6	𨃦	⿰⻊⿱夭卉
U-000280E7	𨃧	⿰⻊⿱右冋
U-000280E8	𨃨	⿱展足
U-000280E9	𨃩	⿰⻊&GT-14839;
U-000280EA	𨃪	⿰⻊拳
U-000280EB	𨃫	⿱倒足
U-000280EC	𨃬	⿰⻊追
U-000280ED	𨃭	⿰⻊栽
U-000280EE	𨃮	⿰⻊⿱列木
U-000280EF	𨃯	⿰⻊時
U-000280F0	𨃰	⿰⻊兼
U-000280F1	𨃱	⿱⿰立立足
U-000280F2	𨃲	⿱書足
U-000280F3	𨃳	⿰⻊能
U-000280F4	𨃴	⿰⻊&GT-60709;
U-000280F5	𨃵	⿰⻊朕
U-000280F6	𨃶	⿰⻊格
U-000280F7	𨃷	⿰⻊祝
U-000280F8	𨃸	⿰⻊竜
U-000280F9	𨃹	⿰⻊浪
U-000280FA	𨃺	⿰⻊&GT-35181;
U-000280FB	𨃻	⿰⻊烈
U-000280FC	𨃼	⿰⻊祚
U-000280FD	𨃽	⿰⻊辱
U-000280FE	𨃾	⿱足称
U-000280FF	𨃿	⿰⻊⿱⿰巳巳&I-CDP-8B6F;
U-00028100	𨄀	⿰⻊⿸广疌
U-00028101	𨄁	⿰⻊耽
U-00028102	𨄂	⿰⻊郎
U-00028103	𨄃	⿰⻊逐
U-00028104	𨄄	⿰⻊恋
U-00028105	𨄅	⿰⻊區
U-00028106	𨄆	⿰⻊&CDP-8CBE;
U-00028107	𨄇	⿰⻊⿱&CDP-8BFA;&I-CDP-8C43;
U-00028108	𨄈	⿰⻊梁
U-00028109	𨄉	⿰⻊產
U-0002810A	𨄊	⿰⻊祭
U-0002810B	𨄋	⿰⻊屚
U-0002810C	𨄌	⿰⻊&GT-36925;
U-0002810D	𨄍	⿰⻊崔
U-0002810E	𨄎	⿰⻊基
U-0002810F	𨄏	⿰⻊票
U-00028110	𨄐	⿰⻊紫
U-00028111	𨄑	⿰⻊匐
U-00028112	𨄒	⿰⻊⿱宀取
U-00028113	𨄓	⿰⻊巢
U-00028114	𨄔	⿰⻊專
U-00028115	𨄕	⿰⻊族
U-00028116	𨄖	⿰⻊捼
U-00028117	𨄗	⿰⻊康
U-00028118	𨄘	⿰⻊⿱𡗜𠮷
U-00028119	𨄙	⿰⻊鳥
U-0002811A	𨄚	⿱將足
U-0002811B	𨄛	⿰⻊⿱⿰&CDP-88D3;&CDP-8C4E;&CDP-8D71;
U-0002811C	𨄜	⿰⻊&M-06384;
U-0002811D	𨄝	⿱務足
U-0002811E	𨄞	⿰⻊速
U-0002811F	𨄟	⿱&GT-06539;足
U-00028120	𨄠	⿰⻊悉
U-00028121	𨄡	⿱孰足
U-00028122	𨄢	⿰⻊牽
U-00028123	𨄣	⿰⻊⿱夾夊
U-00028124	𨄤	⿰⻊雀
U-00028125	𨄥	⿰⻊虖
U-00028126	𨄦	⿱傱足
U-00028127	𨄧	⿱&C2-3433;足
U-00028128	𨄨	⿰⻊敖
U-00028129	𨄩	⿰⻊副
U-0002812A	𨄪	⿰⻊⿸𠂆⿸虍巾
U-0002812B	𨄫	⿰⻊⿱&CDP-8AFC;⿰舟刂
U-0002812C	𨄬	⿸麻足
U-0002812D	𨄭	⿰⻊⿸&CDP-8D56;⿰厶厶
U-0002812E	𨄮	⿰⻊率
U-0002812F	𨄯	⿱尉足
U-00028130	𨄰	⿰⻊張
U-00028131	𨄱	⿰⻊累
U-00028132	𨄲	⿰⻊患
U-00028133	𨄳	⿰⻊莆
U-00028134	𨄴	⿰⻊執
U-00028135	𨄵	⿰⻊悼
U-00028136	𨄶	⿰⻊⿱羊永
U-00028137	𨄷	⿰⻊爽
U-00028138	𨄸	⿰⻊⿱日折
U-00028139	𨄹	⿰⻊造
U-0002813A	𨄺	⿰⻊&GT-06539;
U-0002813B	𨄻	⿰⻊寅
U-0002813C	𨄼	⿰⻊移
U-0002813D	𨄽	⿰⻊陷
U-0002813E	𨄾	⿰⻊寄
U-0002813F	𨄿	⿰⻊&GT-35230;
U-00028140	𨅀	⿰⻊粒
U-00028141	𨅁	⿰⻊笠
U-00028142	𨅂	⿰⻊覔
U-00028143	𨅃	⿰⻊崇
U-00028144	𨅄	⿰⻊軟
U-00028145	𨅅	⿰⻊⿱止技
U-00028146	𨅆	⿰⻊⿱𡗜圭
U-00028147	𨅇	⿱啐足
U-00028148	𨅈	⿰⻊⿳龷厶木
U-00028149	𨅉	⿰⻊&GT-18208;
U-0002814A	𨅊	⿰⻊⿰育攵
U-0002814B	𨅋	⿰⻊肅
U-0002814C	𨅌	⿰⻊爲
U-0002814D	𨅍	⿰⻊間
U-0002814E	𨅎	⿰⻊最
U-0002814F	𨅏	⿰⻊嵐
U-00028150	𨅐	⿱無足
U-00028151	𨅑	⿰⻊須
U-00028152	𨅒	⿰⻊尌
U-00028153	𨅓	⿰⻊奢
U-00028154	𨅔	⿰⻊朁
U-00028155	𨅕	⿰⻊替
U-00028156	𨅖	⿰⻊散
U-00028157	𨅗	⿰⻊筆
U-00028158	𨅘	⿱彭足
U-00028159	𨅙	⿰⻊啻
U-0002815A	𨅚	⿱敖足
U-0002815B	𨅛	⿰⻊⿸尸禹
U-0002815C	𨅜	⿰⻊異
U-0002815D	𨅝	⿰⻊牚
U-0002815E	𨅞	⿰⻊答
U-0002815F	𨅟	⿰⻊⿳&CDP-8BD5;二火
U-00028160	𨅠	⿱欽足
U-00028161	𨅡	⿰⻊⿹𢏚口
U-00028162	𨅢	⿰⻊⿱龷放
U-00028163	𨅣	⿰⻊⿱垚土
U-00028164	𨅤	⿰⻊⿱其月
U-00028165	𨅥	⿰⻊悲
U-00028166	𨅦	⿰⻊㫺
U-00028167	𨅧	⿰⻊⿸厃⿳八工口
U-00028168	𨅨	⿰⻊棠
U-00028169	𨅩	⿱跣⿱亠󠄀日
U-0002816A	𨅪	⿱⿰牙牙⿰⻊牙
U-0002816B	𨅫	⿲⻊麦去
U-0002816C	𨅬	⿰⻊阑
U-0002816D	𨅭	⿰⻊覃
U-0002816E	𨅮	⿰⻊都
U-0002816F	𨅯	⿰⻊華
U-00028170	𨅰	⿰⻊&GT-19035;
U-00028171	𨅱	⿰⻊⿱芚日
U-00028172	𨅲	⿰⻊⿱而而
U-00028173	𨅳	⿰⻊⿱吞𠕁
U-00028174	𨅴	⿱番足
U-00028175	𨅵	⿰⻊⿱⿰&CDP-897C;&CDP-897C;羽
U-00028176	𨅶	⿰⻊叅
U-00028177	𨅷	⿰⻊隊
U-00028178	𨅸	⿰⻊等
U-00028179	𨅹	⿰⻊朝
U-0002817A	𨅺	⿰⻊&J83-343A;
U-0002817B	𨅻	⿰⻊⿱穴告
U-0002817C	𨅼	⿰⻊萊
U-0002817D	𨅽	⿰⻊閑
U-0002817E	𨅾	⿰⻊森
U-0002817F	𨅿	⿰⻊越
U-00028180	𨆀	⿰⻊閒
U-00028181	𨆁	⿰⻊亶
U-00028182	𨆂	⿰⻊⿱夭韭
U-00028183	𨆃	⿰⻊禁
U-00028184	𨆄	⿰⻊楚
U-00028185	𨆅	⿰⻊睪
U-00028186	𨆆	⿰⻊頍
U-00028187	𨆇	⿰⻊閘
U-00028188	𨆈	⿰⻊睘
U-00028189	𨆉	⿰⻊當
U-0002818A	𨆊	⿱鼓足
U-0002818B	𨆋	⿰⻊義
U-0002818C	𨆌	⿰⻊煩
U-0002818D	𨆍	⿰⻊&C1-6636;
U-0002818E	𨆎	⿰⻊賊
U-0002818F	𨆏	⿰⻊遂
U-00028190	𨆐	⿰⻊⿱&CDP-8BFA;足
U-00028191	𨆑	⿰⻊⿱⺮足
U-00028192	𨆒	⿰⻊準
U-00028193	𨆓	⿰⻊禽
U-00028194	𨆔	⿰⻊&C1-6734;
U-00028195	𨆕	⿱献足
U-00028196	𨆖	⿰⻊&C1-675B;
U-00028197	𨆗	⿰⻊粤
U-00028198	𨆘	⿰⻊僉
U-00028199	𨆙	⿰⻊瑟
U-0002819A	𨆚	⿰⻊⿱⿵大&I-CDP-8B53;羽
U-0002819B	𨆛	⿰⻊遁
U-0002819C	𨆜	⿱煩足
U-0002819D	𨆝	⿰⻊會
U-0002819E	𨆞	⿰⻊農
U-0002819F	𨆟	⿰⻊董
U-000281A0	𨆠	⿰⻊葵
U-000281A1	𨆡	⿰⻊葉
U-000281A2	𨆢	⿰⻊雷
U-000281A3	𨆣	⿰⻊萬
U-000281A4	𨆤	⿰⻊群
U-000281A5	𨆥	⿱損足
U-000281A6	𨆦	⿰⻊⿱⺮貝
U-000281A7	𨆧	⿱輊足
U-000281A8	𨆨	⿰⻊⿺𠃊貴
U-000281A9	𨆩	⿰⻊&GT-52283;
U-000281AA	𨆪	⿱輕足
U-000281AB	𨆫	⿰⻊疐
U-000281AC	𨆬	⿱足⿰⻊足
U-000281AD	𨆭	⿰⻊⿳白穴方
U-000281AE	𨆮	⿰⻊耤
U-000281AF	𨆯	⿰⻊僕
U-000281B0	𨆰	⿰⻊&CDP-8CE3;
U-000281B1	𨆱	⿰⻊⿱馮几
U-000281B2	𨆲	⿰⻊&CDP-8D6D;
U-000281B3	𨆳	⿰⻊⿱艹⿰⻖辛
U-000281B4	𨆴	⿰⻊⿱炎舛
U-000281B5	𨆵	⿰⻊頗
U-000281B6	𨆶	⿰⻊蒲
U-000281B7	𨆷	⿰⻊對
U-000281B8	𨆸	⿰⻊⿸原心
U-000281B9	𨆹	⿰⻊&GT-51576;
U-000281BA	𨆺	⿰⻊漂
U-000281BB	𨆻	⿱滿足
U-000281BC	𨆼	⿰⻊㕑
U-000281BD	𨆽	⿰⻊⿸&GT-65257;么
U-000281BE	𨆾	⿰⻊察
U-000281BF	𨆿	⿰⻊閣
U-000281C0	𨇀	⿰⻊遣
U-000281C1	𨇁	⿰⻊廣
U-000281C2	𨇂	⿰⻊徹
U-000281C3	𨇃	⿰⻊賛
U-000281C4	𨇄	⿰⻊憂
U-000281C5	𨇅	⿰⻊暴
U-000281C6	𨇆	⿰⻊厲
U-000281C7	𨇇	⿰⻊⿳龷灬貝
U-000281C8	𨇈	⿰⻊⿳&CDP-8D52;田⿱厶&CDP-8B68;
U-000281C9	𨇉	⿰⻊⿱山尞
U-000281CA	𨇊	⿰⻊⿰彳喬
U-000281CB	𨇋	⿰⻊⿱⿱&I-C5-2B67;一月
U-000281CC	𨇌	⿱⿰木戚足
U-000281CD	𨇍	⿰⻊輦
U-000281CE	𨇎	⿱⿰⻊厘&C1-4740;
U-000281CF	𨇏	⿰⻊⿱𠂹⿸&I-CDP-896C;工
U-000281D0	𨇐	⿱⿰舟頁足
U-000281D1	𨇑	⿰⻊罷
U-000281D2	𨇒	⿰⻊磊
U-000281D3	𨇓	⿱儉足
U-000281D4	𨇔	⿰⻊⿶凵⿳⿰幺幺一⿰幺幺
U-000281D5	𨇕	⿰⻊⿱⿰彳吞𠕁
U-000281D6	𨇖	⿰⻊盧
U-000281D7	𨇗	⿰⻊歷
U-000281D8	𨇘	⿱龍足
U-000281D9	𨇙	⿰⻊衞
U-000281DA	𨇚	⿰⻊⿱臾貝
U-000281DB	𨇛	⿱足覩
U-000281DC	𨇜	⿱覩足
U-000281DD	𨇝	⿰⻊閻
U-000281DE	𨇞	⿰⻊⿺麥去
U-000281DF	𨇟	⿰⻊燕
U-000281E0	𨇠	⿰⻊⿸厂墨
U-000281E1	𨇡	⿰⻊閶
U-000281E2	𨇢	⿰⻊磨
U-000281E3	𨇣	⿰⻊覧
U-000281E4	𨇤	⿰⻊鮮
U-000281E5	𨇥	⿰⻊蹇
U-000281E6	𨇦	⿰⻊韱
U-000281E7	𨇧	⿰⻊⿵門臿
U-000281E8	𨇨	⿰⻊薛
U-000281E9	𨇩	⿰⻊毚
U-000281EA	𨇪	⿲⻊隹頁
U-000281EB	𨇫	⿰⻊⿱⿻&CDP-8BA8;同㔾
U-000281EC	𨇬	⿰⻊⿱旦欽
U-000281ED	𨇭	⿸广⿱⿰幸艮足
U-000281EE	𨇮	⿰⻊闕
U-000281EF	𨇯	⿰⻊雙
U-000281F0	𨇰	⿰⻊斷
U-000281F1	𨇱	⿰⻊邊
U-000281F2	𨇲	⿰⻊⿵門舀
U-000281F3	𨇳	⿰躎尤
U-000281F4	𨇴	⿰⻊⿱⿻𦥑囟⿱大㔾
U-000281F5	𨇵	⿰⻊⿰堯多
U-000281F6	𨇶	⿰⻊竅
U-000281F7	𨇷	⿰⻊魏
U-000281F8	𨇸	⿰⻊簪
U-000281F9	𨇹	⿰⻊甕
U-000281FA	𨇺	⿰⻊爵
U-000281FB	𨇻	⿰⻊&GT-57204;
U-000281FC	𨇼	⿰⻊&CDP-8BE7;
U-000281FD	𨇽	⿰⻊羅
U-000281FE	𨇾	⿰⻊⿱⿲火言火火
U-000281FF	𨇿	⿰⻊繭
U-00028200	𨈀	⿰⻊顛
U-00028201	𨈁	⿰⻊籍
U-00028202	𨈂	⿰⻊䨇
U-00028203	𨈃	⿰蹎真
U-00028204	𨈄	⿰⻊⿹𢦏齒
U-00028205	𨈅	⿰⻊蘥
U-00028206	𨈆	⿰⻊蘭
U-00028207	𨈇	⿰⻊覽
U-00028208	𨈈	⿰⻊疊
U-00028209	𨈉	⿰⻊⿱卝夒
U-0002820A	𨈊	⿰⻊彎
U-0002820B	𨈋	⿰⻊籥
U-0002820C	𨈌	⿰⻊戀
U-0002820D	𨈍	⿰⻊矍
U-0002820E	𨈎	⿰⻊鸞
U-0002820F	𨈏	𨈏
U-00028210	𨈐	𨈐
U-00028211	𨈑	𨈑
U-00028212	𨈒	⿰身卜
U-00028213	𨈓	⿰身小
U-00028214	𨈔	⿰身凡
U-00028215	𨈕	⿰身⻏
U-00028216	𨈖	⿱身口
U-00028217	𨈗	⿱口身
U-00028218	𨈘	⿰身少
U-00028219	𨈙	⿰身攴
U-0002821A	𨈚	⿰身比
U-0002821B	𨈛	⿰身支
U-0002821C	𨈜	⿰身冄
U-0002821D	𨈝	⿰身丹
U-0002821E	𨈞	⿰身𠬝
U-0002821F	𨈟	⿰身戈
U-00028220	𨈠	⿰身爻
U-00028221	𨈡	⿰身攵
U-00028222	𨈢	⿰身亢󠄀
U-00028223	𨈣	⿰身尤
U-00028224	𨈤	⿰身元
U-00028225	𨈥	⿰身毛
U-00028226	𨈦	⿰身⿱人人
U-00028227	𨈧	⿰身引
U-00028228	𨈨	⿰身⿱𠂉几
U-00028229	𨈩	⿰身犮
U-0002822A	𨈪	⿰身只
U-0002822B	𨈫	⿰身主
U-0002822C	𨈬	⿰身丘
U-0002822D	𨈭	⿰身冉
U-0002822E	𨈮	⿰身申
U-0002822F	𨈯	⿰身孕
U-00028230	𨈰	⿰身古
U-00028231	𨈱	⿰身旦
U-00028232	𨈲	⿰身⿱八亏
U-00028233	𨈳	⿰身句
U-00028234	𨈴	⿰身⿱&I-CDP-8B55;口
U-00028235	𨈵	⿰身皮
U-00028236	𨈶	⿰身母
U-00028237	𨈷	⿰身它
U-00028238	𨈸	⿰身⾆
U-00028239	𨈹	⿰身同
U-0002823A	𨈺	⿰身老
U-0002823B	𨈻	⿰身自
U-0002823C	𨈼	⿰身⿱女小
U-0002823D	𨈽	⿰身&C4-2234;
U-0002823E	𨈾	⿰身并
U-0002823F	𨈿	⿱合身
U-00028240	𨉀	⿰身⿱大㐄
U-00028241	𨉁	⿰身光
U-00028242	𨉂	⿰身⿱中丂
U-00028243	𨉃	⿱任身
U-00028244	𨉄	⿰身⿱丿&CDP-877E;
U-00028245	𨉅	⿰身⿱&CDP-8AFC;丌
U-00028246	𨉆	⿰身色
U-00028247	𨉇	⿰身⿱火人
U-00028248	𨉈	⿰身廷
U-00028249	𨉉	⿰身坒
U-0002824A	𨉊	⿰身⿱比大
U-0002824B	𨉋	⿰身兌
U-0002824C	𨉌	⿰身足
U-0002824D	𨉍	⿰身⿱白八
U-0002824E	𨉎	⿰身辰
U-0002824F	𨉏	⿰身免󠄀
U-00028250	𨉐	⿰身我
U-00028251	𨉑	⿰身⿱口王
U-00028252	𨉒	⿰身災
U-00028253	𨉓	⿰身⿱八丙
U-00028254	𨉔	⿰身卓
U-00028255	𨉕	⿰身戾
U-00028256	𨉖	⿵門身
U-00028257	𨉗	⿰身&GT-08946;
