;; -*- coding: utf-8-mcs-er -*-
U-0002A700	𪜀	？
U-0002A701	𪜁	⿱一龴
U-0002A702	𪜂	⿱一凡
U-0002A703	𪜃	⿱一丸
U-0002A704	𪜄	事？
U-0002A705	𪜅	⿱不可
U-0002A706	𪜆	⿻木⿰丶丶⿱井
U-0002A707	𪜇	⿰⿱一𢆶丮
U-0002A708	𪜈	⿰万僉
U-0002A709	𪜉	⿰丨⿱一七
U-0002A70A	𪜊	⿰中平
U-0002A70B	𪜋	⿱丶𠃍
U-0002A70C	𪜌	⿱主戈？
U-0002A70D	𪜍	⿵乃日
U-0002A70E	𪜎	⿱千兆
U-0002A70F	𪜏	⿰乔亢
U-0002A710	𪜐	⿰夭屰
U-0002A711	𪜑	⿺乙化
U-0002A712	𪜒	⿱末乙
U-0002A713	𪜓	⿺乙吉
U-0002A714	𪜔	⿱件乙
U-0002A715	𪜕	⿺九曲
U-0002A716	𪜖	⿰者乚
U-0002A717	𪜗	⿱卂囬
U-0002A718	𪜘	⿺九或
U-0002A719	𪜙	⿹乙破
U-0002A71A	𪜚	⿱九⿰百升
U-0002A71B	𪜛	⿹乙⿰氵枚
U-0002A71C	𪜜	⿺乳布
U-0002A71D	𪜝	⿰北了
U-0002A71E	𪜞	⿰予其
U-0002A71F	𪜟	⿰云秦
U-0002A720	𪜠	⿱孰云
U-0002A721	𪜡	⿱亠凡
U-0002A722	𪜢	⿰丩亡
U-0002A723	𪜣	⿱亠旧
U-0002A724	𪜤	⿳亠公代
U-0002A725	𪜥	⿱亠倠
U-0002A726	𪜦	⿳亠回臣
U-0002A727	𪜧	⿰亭留
U-0002A728	𪜨	⿰亻㐅
U-0002A729	𪜩	⿰亻⿱一女
U-0002A72A	𪜪	⿰亻勾
U-0002A72B	𪜫	⿰亻匂
U-0002A72C	𪜬	⿰亻丑
U-0002A72D	𪜭	⿱人未
U-0002A72E	𪜮	⿰亻囙
U-0002A72F	𪜯	⿰亻目
U-0002A730	𪜰	⿰亻另
U-0002A731	𪜱	⿰亻禾
U-0002A732	𪜲	⿱人禾
U-0002A733	𪜳	⿰亻斥
U-0002A734	𪜴	⿰亻民
U-0002A735	𪜵	⿰亻弘
U-0002A736	𪜶	⿰亻旨
U-0002A737	𪜷	⿰亻因
U-0002A738	𪜸	⿰亻朶
U-0002A739	𪜹	⿰亻字
U-0002A73A	𪜺	⿰亻羽
U-0002A73B	𪜻	⿰亻纣
U-0002A73C	𪜼	⿰亻赤
U-0002A73D	𪜽	⿰亻⿱㐄牛
U-0002A73E	𪜾	⿱人里
U-0002A73F	𪜿	⿰亻助
U-0002A740	𪝀	⿰亻妟
U-0002A741	𪝁	⿰亻角
U-0002A742	𪝂	⿱仍叱
