;; -*- coding: utf-8-mcs-er -*-
U+31350	𱍐	⿱一𥘅
U+31351	𱍑	⿱去一
U+31352	𱍒	⿰丁央
U+31353	𱍓	⿷⿺𠃊𠂇⿱丿⿻二丨
U+31354	𱍔	⿰下龙
U+31355	𱍕	&U-i001+2FFB;𣎴从
U+31356	𱍖	⿰兰下
U+31357	𱍗	⿱一𱥺
U+31358	𱍘	⿰丢勿
U+31359	𱍙	⿰尚丁
U+3135A	𱍚	⿱不多
U+3135B	𱍛	⿱不合
U+3135C	𱍜	⿰谷下
U+3135D	𱍝	⿰完下
U+3135E	𱍞	⿱业次
U+3135F	𱍟	⿰与念
U+31360	𱍠	⿱品下
U+31361	𱍡	⿰不闹
U+31362	𱍢	⿰𥒥丁
U+31363	𱍣	⿱狂丢
U+31364	𱍤	⿱不是
U+31365	𱍥	⿳卝⿻北𠮛一
U+31366	𱍦	⿰世旁
U+31367	𱍧	⿰尋下
U+31368	𱍨	⿰𦰩丕
U+31369	𱍩	⿰上需
U+3136A	𱍪	⿱丽⿸广⿱？殷
U+3136B	𱍫	⿱⿰丨㇎一
U+3136C	𱍬	⿰&CDP-8968;夬
U+3136D	𱍭	⿰&CDP-8968;艮
U+3136E	𱍮	⿰&CDP-8968;充
U+3136F	𱍯	⿰&CDP-8968;同
U+31370	𱍰	⿰&CDP-8968;亚
U+31371	𱍱	⿰&CDP-8968;岡
U+31372	𱍲	⿰&CDP-8968;帛
U+31373	𱍳	⿰&CDP-8968;昔
U+31374	𱍴	⿰&CDP-8968;姜
U+31375	𱍵	⿰&CDP-8968;兼
U+31376	𱍶	⿰&CDP-8968;麃
U+31377	𱍷	⿰&CDP-v001-8BEA;又
U+31378	𱍸	⿸⿱丿𠄌乀
U+31379	𱍹	⿵乃丶
U+3137A	𱍺	⿱𠂉𪜀
U+3137B	𱍻	⿺之二
U+3137C	𱍼	⿰个乌
U+3137D	𱍽	⿰而之
U+3137E	𱍾	⿰难久
U+3137F	𱍿	⿰婁久
U+31380	𱎀	⿹⺄彐
U+31381	𱎁	⿺𠃊不
U+31382	𱎂	⿺九六
U+31383	𱎃	⿹⺄𣱽
U+31384	𱎄	⿺乙当
U+31385	𱎅	⿺乙各
U+31386	𱎆	⿺乙角
U+31387	𱎇	⿹⺄非
U+31388	𱎈	⿹⺄相
U+31389	𱎉	⿹⺄耶
U+3138A	𱎊	⿱秋乙
U+3138B	𱎋	⿹⺄郎
U+3138C	𱎌	⿺辶⿹⺄束
U+3138D	𱎍	⿹⺄淫
U+3138E	𱎎	⿱⿰氵茄乙
U+3138F	𱎏	⿱敝也
U+31390	𱎐	⿱謁乙
U+31391	𱎑	⿰事役
U+31392	𱎒	⿱再二
U+31393	𱎓	⿱二𢼂
U+31394	𱎔	⿰台弍
U+31395	𱎕	⿱二堆
U+31396	𱎖	⿱五南
U+31397	𱎗	⿰為弍
U+31398	𱎘	⿳𠫓丗丄
U+31399	𱎙	⿺亮光
U+3139A	𱎚	⿻人𰀪
U+3139B	𱎛	⿱人土
U+3139C	𱎜	⿱人下
U+3139D	𱎝	⿰亻亡
U+3139E	𱎞	⿰亻卫
U+3139F	𱎟	⿰亻𠃓
U+313A0	𱎠	⿴井人
U+313A1	𱎡	⿰亻贝
U+313A2	𱎢	⿰亻𪟽
U+313A3	𱎣	⿺仌人
U+313A4	𱎤	⿰亻𲋄
U+313A5	𱎥	⿱人斤
U+313A6	𱎦	⿰亻⿱丄丅
U+313A7	𱎧	⿰亻孔
U+313A8	𱎨	⿰亻仝
U+313A9	𱎩	⿰亻𱍺
U+313AA	𱎪	⿰亻𠬤
U+313AB	𱎫	⿰亻亚
U+313AC	𱎬	⿰亻缶
U+313AD	𱎭	⿰亻好
U+313AE	𱎮	⿷仁申
U+313AF	𱎯	⿰亻员
U+313B0	𱎰	⿰亻圼
U+313B1	𱎱	⿰亻忘
U+313B2	𱎲	⿰仓皮
U+313B3	𱎳	⿰亻肯
U+313B4	𱎴	⿰亻罔
U+313B5	𱎵	⿰亻⿱日壬
U+313B6	𱎶	⿰亻岽
U+313B7	𱎷	⿱此从
U+313B8	𱎸	⿰亻迎
U+313B9	𱎹	⿰亻𱻊
U+313BA	𱎺	⿰亻孟
U+313BB	𱎻	⿰余予
U+313BC	𱎼	⿰亻革
U+313BD	𱎽	⿰亻泉
U+313BE	𱎾	⿰亻𱅑
U+313BF	𱎿	⿰亻晋
U+313C0	𱏀	⿰亻恶
U+313C1	𱏁	⿰亻荟
U+313C2	𱏂	⿰亻养
U+313C3	𱏃	⿰亻朗
U+313C4	𱏄	⿰亻𠖏
U+313C5	𱏅	⿰亻⿱吉鸟
U+313C6	𱏆	⿰亻婴
U+313C7	𱏇	⿰亻⿱呆爻
U+313C8	𱏈	⿰亻笨
U+313C9	𱏉	⿱俎切
U+313CA	𱏊	⿰亻産
U+313CB	𱏋	⿰亻庵
U+313CC	𱏌	⿰亻⿱廿𠣜
U+313CD	𱏍	⿰亻髠
U+313CE	𱏎	⿰孛佛
U+313CF	𱏏	⿰里余
U+313D0	𱏐	⿰亻赏
U+313D1	𱏑	⿰亻紫
U+313D2	𱏒	⿰亻欽
U+313D3	𱏓	⿰亻阑
U+313D4	𱏔	⿰亻赖
U+313D5	𱏕	⿰亻裊
U+313D6	𱏖	⿰亻舅
U+313D7	𱏗	⿰倉皮
