;; -*- coding: utf-8-mcs-er -*-
U+2EBF0	𮯰	⿴二⿰丨丨
U+2EBF1	𮯱	⿵丹丶
U+2EBF2	𮯲	⿻⿱𠂉一乚
U+2EBF3	𮯳	⿱亠⿱炏火
U+2EBF4	𮯴	⿰亻儿
U+2EBF5	𮯵	⿰亻万
U+2EBF6	𮯶	⿰亻己
U+2EBF7	𮯷	⿰亻叉
U+2EBF8	𮯸	⿰亻历
U+2EBF9	𮯹	⿰亻凤
U+2EBFA	𮯺	⿰亻巧
U+2EBFB	𮯻	⿰亻圣
U+2EBFC	𮯼	⿰亻杰
U+2EBFD	𮯽	⿰亻昊
U+2EBFE	𮯾	⿰亻函
U+2EBFF	𮯿	⿱亼朋
U+2EC00	𮰀	⿰亻奎
U+2EC01	𮰁	⿰亻复
U+2EC02	𮰂	⿱合承
U+2EC03	𮰃	⿱入地
U+2EC04	𮰄	⿱冖龙
U+2EC05	𮰅	⿱㓁林
U+2EC06	𮰆	⿰冫弓
U+2EC07	𮰇	⿰冫捷
U+2EC08	𮰈	⿰冫菱
U+2EC09	𮰉	⿱冯几
U+2EC0A	𮰊	⿰赤几
U+2EC0B	𮰋	⿶𢆻白
U+2EC0C	𮰌	⿰有刂
U+2EC0D	𮰍	⿰耒力
U+2EC0E	𮰎	⿰力虎
U+2EC0F	𮰏	⿱十兒
U+2EC10	𮰐	⿰十鈭
U+2EC11	𮰑	⿸厂当
U+2EC12	𮰒	⿸厂𡠓
U+2EC13	𮰓	⿰又夬
U+2EC14	𮰔	⿰口韦
U+2EC15	𮰕	⿰告予
U+2EC16	𮰖	⿰口闽
U+2EC17	𮰗	⿰口颢
U+2EC18	𮰘	⿴囗各
U+2EC19	𮰙	⿺𠃊土
U+2EC1A	𮰚	⿰土叉
U+2EC1B	𮰛	⿰土仁
U+2EC1C	𮰜	⿰土⿱丷了
U+2EC1D	𮰝	⿱朹土
U+2EC1E	𮰞	⿰土名
U+2EC1F	𮰟	⿱亦土
U+2EC20	𮰠	⿱汤土
U+2EC21	𮰡	⿱兴土
U+2EC22	𮰢	⿰土麦
U+2EC23	𮰣	⿱坊土
U+2EC24	𮰤	⿰土𰥍
U+2EC25	𮰥	⿰土奂
U+2EC26	𮰦	⿰土奏
U+2EC27	𮰧	⿰土昱
U+2EC28	𮰨	⿰土桌
U+2EC29	𮰩	⿰土匾
U+2EC2A	𮰪	⿰土兜
U+2EC2B	𮰫	⿰土庵
U+2EC2C	𮰬	⿰土𧰮
U+2EC2D	𮰭	⿰土菴
U+2EC2E	𮰮	⿰土農
U+2EC2F	𮰯	⿰土蒀
U+2EC30	𮰰	⿱士廾
U+2EC31	𮰱	⿰吉才
U+2EC32	𮰲	⿱士兆
U+2EC33	𮰳	⿰晋夋
U+2EC34	𮰴	⿱𭕄天
U+2EC35	𮰵	⿱大吉
U+2EC36	𮰶	⿱並大
U+2EC37	𮰷	⿰女丂
U+2EC38	𮰸	⿰女义
U+2EC39	𮰹	⿰女屯
U+2EC3A	𮰺	⿰女卬
U+2EC3B	𮰻	⿰女凤
U+2EC3C	𮰼	⿱不女
U+2EC3D	𮰽	⿰女乐
U+2EC3E	𮰾	⿰女兰
U+2EC3F	𮰿	⿰女夹
U+2EC40	𮱀	⿰女行
U+2EC41	𮱁	⿰女尽
U+2EC42	𮱂	⿱羽女
U+2EC43	𮱃	⿰女回
U+2EC44	𮱄	⿰女园
U+2EC45	𮱅	⿱𦥑女
U+2EC46	𮱆	⿰女闵
U+2EC47	𮱇	⿰女连
U+2EC48	𮱈	⿰女𱞂
U+2EC49	𮱉	⿰女态
U+2EC4A	𮱊	⿰女罗
U+2EC4B	𮱋	⿰女肴
U+2EC4C	𮱌	⿱炏女
U+2EC4D	𮱍	⿰女即
U+2EC4E	𮱎	⿰女厚
U+2EC4F	𮱏	⿰女急
U+2EC50	𮱐	⿰女弯
U+2EC51	𮱑	⿱艳女
U+2EC52	𮱒	⿰女袅
U+2EC53	𮱓	⿰女离
U+2EC54	𮱔	⿰女𬜯
U+2EC55	𮱕	⿰女莹
U+2EC56	𮱖	⿰女梦
U+2EC57	𮱗	⿰女晨
U+2EC58	𮱘	⿰女童
U+2EC59	𮱙	⿰女静
U+2EC5A	𮱚	⿰女盧
U+2EC5B	𮱛	⿰女露
U+2EC5C	𮱜	⿱丶李
U+2EC5D	𮱝	⿰子息
U+2EC5E	𮱞	⿱宀尢
U+2EC5F	𮱟	⿱宀文
U+2EC60	𮱠	⿱宀𮥼
U+2EC61	𮱡	⿱小子
U+2EC62	𮱢	⿱小石
U+2EC63	𮱣	⿺兀貴
U+2EC64	𮱤	⿱山仓
U+2EC65	𮱥	⿱山𭃂
U+2EC66	𮱦	⿱山凤
U+2EC67	𮱧	⿱山代
